  Verrucomicrobia Chlamydiae stramenopiles Aquificae Actinobacteria Chlorobi Diplomonadida Lobosea Euglenozoa unclassified Cyanobacteria Lentisphaerae Rhodophyta candidate Viridiplantae Mycetozoa Thermotogales Dictyoglomi artificial ssDNA Pelobiontida Nitrospirae Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental plasmids Cryptophyta Fusobacteria Korarchaeota ssRNA Crenarchaeota Alveolata Entamoebidae Jakobidae Nanoarchaeota Bacteroidetes Rhizaria dsRNA Parabasalidea Metazoa Acanthamoebidae Thermotogae Glaucocystophyceae Fibrobacteres Euryarchaeota Spirochaetales
248 2 247 3472 48 37 1303 78 218 436 290 1 1321 134 5 3 15 189 626 17 6182 3423 23 1 0 11 0 4 3132 30 2 1 23 2 119 2 15636 6 13 1 308 70 286 0 266 5094 5 46 400 0 581 6 2 5091 78 1 
249 2 245 3442 49 43 1295 91 200 426 306 1 1357 130 6 2 13 183 601 17 6149 3435 23 1 1 6 0 7 3138 35 2 0 15 2 125 2 15618 6 15 0 297 78 292 2 253 5143 4 40 389 1 589 3 1 5122 71 2 
250 0 267 3457 37 39 1305 86 231 457 295 1 1277 128 5 1 9 196 626 22 6133 3482 20 0 0 9 1 7 3137 32 2 1 18 1 136 1 15617 3 9 1 311 76 291 2 258 5081 4 36 378 1 579 4 2 5174 67 0 
251 1 248 3467 41 32 1293 84 211 424 288 0 1343 140 6 1 10 196 621 22 6174 3435 25 2 0 9 1 7 3174 39 1 0 23 2 129 2 15580 3 10 0 316 79 270 1 236 5155 6 40 397 2 574 5 1 5113 72 2 
252 2 249 3481 46 42 1278 85 211 411 299 1 1289 136 8 1 10 200 633 25 6151 3433 24 3 1 7 1 5 3108 35 1 1 22 2 128 0 15717 5 11 1 316 81 265 1 268 5071 4 37 408 2 591 4 1 5067 74 1 
253 1 251 3507 41 35 1278 98 245 440 317 1 1316 119 3 2 11 200 638 26 6170 3476 24 1 0 6 0 5 3200 42 3 1 19 1 120 1 15539 5 11 1 305 74 296 1 258 5024 4 40 399 1 564 3 2 5063 80 1 
254 3 253 3458 47 41 1292 84 208 428 284 1 1360 145 5 0 10 194 638 22 6159 3447 22 0 1 9 1 8 3236 40 1 0 17 1 123 0 15534 5 11 0 311 76 261 2 259 5093 5 34 385 1 572 5 1 5125 75 2 
255 0 268 3448 47 41 1284 96 218 422 312 0 1338 123 3 2 9 201 624 27 6161 3460 21 2 1 8 1 5 3148 40 1 1 19 1 127 2 15536 5 10 0 296 79 297 2 246 5136 6 39 384 1 568 5 1 5096 81 1 
256 1 256 3402 52 43 1317 88 213 454 293 0 1325 138 5 2 9 196 654 20 6119 3405 16 1 1 10 1 4 3212 34 1 0 20 1 124 1 15574 5 12 1 293 78 282 2 247 5177 6 33 394 2 575 4 1 5128 70 1 
257 2 258 3480 56 42 1282 86 209 428 291 2 1370 135 3 3 12 194 628 22 6109 3441 20 2 0 6 1 2 3185 44 3 1 21 1 125 0 15650 4 13 0 307 73 281 2 251 5066 4 37 398 0 579 5 1 5074 74 1 
258 2 272 3445 46 50 1275 91 209 429 310 0 1348 143 7 1 13 187 625 28 6178 3432 19 2 1 8 0 4 3125 39 3 1 23 1 128 3 15586 4 11 0 302 73 278 2 250 5122 4 37 380 2 611 6 1 5111 68 1 
259 0 259 3435 50 35 1294 87 240 426 277 1 1377 135 5 1 11 193 636 20 6148 3439 21 2 1 10 0 5 3196 42 0 1 22 2 113 3 15615 3 11 1 302 76 285 2 244 5060 2 36 393 2 567 4 2 5081 71 1 
260 1 238 3484 49 35 1279 86 231 415 290 2 1393 120 1 0 12 182 624 25 6150 3455 17 2 1 11 1 5 3148 28 0 0 23 2 124 2 15557 4 16 1 310 77 300 3 252 5084 4 35 383 1 591 4 0 5130 80 2 
261 0 258 3460 51 46 1289 83 221 424 310 1 1317 144 3 3 11 193 624 18 6138 3370 21 2 1 8 1 7 3175 37 2 0 23 1 132 2 15761 8 15 1 301 76 289 2 249 5070 1 36 404 1 565 3 2 5023 78 1 
262 2 254 3482 40 35 1337 91 209 441 291 0 1327 141 5 1 8 198 631 21 6165 3425 17 2 1 10 0 5 3184 39 2 0 20 0 127 0 15537 5 11 1 300 73 289 3 257 5087 5 41 388 0 606 4 0 5079 73 2 
263 3 254 3559 50 42 1301 89 209 426 274 2 1303 142 3 1 12 175 635 20 6209 3444 15 2 1 8 1 7 3152 35 2 0 20 1 115 3 15496 4 9 1 303 76 292 1 251 5101 4 42 417 2 568 3 2 5092 78 1 
264 2 246 3417 48 39 1309 85 227 431 301 2 1288 129 4 0 9 203 619 27 6202 3448 22 0 0 8 1 5 3157 38 0 1 18 1 117 1 15737 3 15 1 315 81 277 1 269 5033 3 40 397 1 591 4 1 5006 79 0 
265 1 250 3520 44 35 1246 91 218 419 296 2 1348 132 4 1 11 203 625 20 6185 3456 17 2 1 9 1 3 3196 48 2 0 24 1 137 1 15558 5 12 1 293 73 277 2 248 5128 4 39 401 2 571 7 1 5061 76 1 
266 2 255 3513 53 47 1278 92 218 393 299 1 1350 122 5 3 11 182 649 20 6252 3455 16 3 0 9 1 6 3164 43 3 0 20 1 126 2 15563 6 11 1 314 81 280 0 237 5072 7 39 401 2 577 7 2 5013 72 0 
267 2 239 3442 44 37 1305 79 209 427 317 2 1377 137 4 2 8 191 632 23 6136 3510 22 0 0 8 1 6 3202 45 1 1 21 1 123 1 15548 2 11 1 323 69 292 2 244 5100 4 40 402 2 575 7 2 4983 80 1 
268 0 247 3364 52 46 1272 91 219 441 294 1 1386 135 5 0 11 184 637 21 6196 3530 16 3 1 7 1 5 3188 36 3 0 20 0 124 0 15557 5 16 1 310 84 283 1 263 5109 3 45 393 1 561 5 1 5032 78 1 
269 1 262 3489 44 35 1289 85 217 425 310 1 1357 139 5 1 9 189 663 19 6107 3378 16 1 1 10 1 4 3206 39 0 0 22 1 126 1 15586 3 13 1 299 76 283 1 249 5083 5 43 378 1 566 4 1 5104 81 1 
270 1 265 3386 48 35 1312 93 221 424 314 0 1336 125 5 3 11 195 649 24 6156 3492 21 2 1 7 0 7 3123 38 2 1 24 1 129 2 15663 6 12 1 311 80 303 1 247 5121 5 34 394 2 556 0 2 5036 64 2 
271 2 238 3430 53 36 1300 83 214 437 304 1 1353 135 5 3 10 190 666 24 6123 3460 21 1 0 8 0 6 3122 40 1 0 20 1 120 2 15601 4 11 0 284 80 291 2 261 5140 3 44 397 1 578 3 0 5081 76 0 
272 3 267 3393 46 43 1241 78 228 404 305 1 1364 140 6 2 13 198 644 21 6269 3455 22 0 0 4 0 7 3169 38 3 0 21 0 128 1 15458 2 9 1 305 73 286 0 253 5113 5 41 413 0 556 5 1 5187 77 1 
273 1 243 3492 43 33 1291 95 205 433 287 1 1369 137 4 0 11 189 631 19 6188 3513 22 1 0 10 1 6 3168 41 1 0 21 1 119 0 15494 4 19 0 312 76 300 2 247 5076 5 40 392 2 578 4 2 5087 79 0 
274 2 257 3391 50 38 1252 91 220 427 290 2 1331 120 6 3 13 194 649 16 6106 3491 16 3 1 6 1 4 3127 37 2 1 25 1 136 3 15749 5 10 1 323 80 278 2 263 5073 2 42 369 2 564 7 1 5118 78 2 
275 0 255 3412 53 37 1335 83 209 409 281 0 1319 136 6 3 8 187 629 24 6225 3533 25 3 1 8 1 6 3173 38 2 1 18 1 117 0 15631 4 12 0 291 78 293 3 264 5078 6 45 380 1 548 3 1 5019 77 0 
276 1 234 3459 48 45 1305 86 225 437 312 1 1349 138 2 2 11 197 628 17 6249 3507 19 1 1 9 0 6 3166 45 2 0 21 2 123 2 15593 6 11 1 295 74 295 2 239 5009 6 42 387 2 562 5 1 5007 83 2 
277 2 263 3463 45 35 1324 74 213 442 282 2 1342 133 1 2 10 200 659 30 6109 3500 17 2 0 8 1 6 3111 38 1 0 24 1 111 2 15670 2 12 0 288 80 262 2 247 5085 5 41 396 0 573 5 1 5078 74 1 
278 2 253 3547 51 34 1233 91 209 421 291 1 1358 137 3 1 7 193 647 21 6227 3434 20 3 0 7 1 6 3109 36 1 1 25 1 126 1 15598 6 14 1 305 84 285 1 252 5105 6 37 386 1 571 6 2 5021 74 2 
279 0 256 3486 47 42 1275 91 217 408 304 1 1370 133 5 2 12 192 628 21 6144 3528 16 2 0 8 1 5 3157 38 1 1 21 1 132 2 15626 4 15 0 307 78 281 2 251 5056 7 33 388 2 572 4 1 5049 75 1 
280 2 256 3514 48 41 1311 98 231 451 309 0 1347 122 6 1 14 196 601 28 6136 3417 20 1 1 7 0 3 3165 41 1 0 24 1 135 1 15529 3 15 0 294 84 262 2 250 5053 3 35 403 2 588 3 0 5140 72 1 
281 2 255 3489 46 45 1261 87 224 423 283 1 1346 137 5 1 14 185 650 21 6185 3461 20 2 0 5 1 7 3156 41 2 1 24 0 127 2 15624 4 13 0 286 79 269 1 250 5091 2 44 407 0 578 5 0 5032 75 1 
282 1 246 3465 44 39 1212 90 210 430 298 1 1364 129 7 2 14 203 610 23 6052 3449 17 2 0 6 0 2 3136 44 0 0 23 0 129 1 15789 5 14 0 301 74 267 1 250 5176 5 41 390 2 614 5 2 5033 86 1 
283 1 273 3417 50 29 1273 94 204 448 301 0 1328 131 3 2 15 195 633 17 6152 3437 19 0 0 9 1 4 3146 38 0 1 25 0 121 1 15703 4 13 1 316 81 288 2 268 5040 4 37 402 2 567 7 1 5112 70 1 
284 2 255 3437 52 38 1326 85 218 448 305 1 1350 129 8 1 7 191 634 23 6137 3507 21 1 1 10 1 5 3148 38 3 1 19 2 115 3 15604 2 11 0 291 80 278 1 255 5071 6 38 390 1 587 6 1 5053 84 0 
285 2 251 3424 44 40 1309 77 231 405 297 0 1393 132 3 1 14 206 628 21 6107 3407 21 2 1 7 1 4 3162 36 1 1 19 2 133 0 15727 7 10 0 306 72 281 2 253 5055 5 34 425 2 542 6 2 5092 81 0 
286 2 242 3445 45 45 1291 85 210 433 315 0 1347 139 5 2 11 204 614 22 6130 3395 19 3 0 7 0 4 3179 32 2 0 22 0 135 1 15670 6 10 1 281 83 255 3 252 5135 5 36 408 0 587 6 0 5055 84 1 
287 1 259 3482 50 40 1306 90 214 437 292 1 1386 134 5 3 10 197 637 28 6201 3411 20 2 1 9 0 3 3136 38 2 1 23 1 140 2 15506 6 11 0 328 74 285 1 240 5090 5 38 377 1 565 6 0 5112 73 1 
288 1 253 3428 48 42 1337 86 211 440 304 1 1349 135 4 3 11 178 628 22 6161 3417 18 2 0 7 0 7 3141 47 2 1 22 2 124 1 15653 5 9 0 293 83 293 1 255 5135 4 34 408 1 564 4 0 5029 74 1 
289 1 236 3456 52 34 1296 94 220 443 293 2 1372 130 5 3 12 196 630 17 6223 3467 20 3 0 6 1 6 3128 38 2 1 20 0 131 3 15636 4 13 0 289 78 264 2 252 5112 2 39 404 1 561 3 2 4981 74 0 
290 3 238 3495 49 42 1301 88 213 428 301 2 1403 129 5 2 11 180 603 18 6129 3360 19 3 0 9 0 5 3188 44 2 0 21 1 136 1 15651 6 13 0 315 75 288 1 250 5090 4 39 404 1 567 5 0 5074 74 1 
291 1 265 3466 52 40 1287 79 223 428 313 2 1361 139 4 2 8 192 636 24 6154 3426 19 1 1 8 0 3 3149 31 2 0 17 1 112 0 15663 4 10 0 312 72 290 2 244 5078 2 41 379 2 604 5 1 5028 70 2 
292 1 264 3449 53 43 1289 90 204 417 314 1 1333 136 7 2 13 207 646 22 6162 3446 23 0 0 11 1 6 3089 34 2 1 22 2 124 2 15559 4 12 0 311 76 286 3 267 5160 5 36 406 1 592 5 0 5060 71 0 
293 2 255 3498 51 45 1273 86 216 411 303 1 1334 123 5 2 13 187 653 30 6134 3464 19 3 0 8 1 5 3132 40 3 1 23 2 134 2 15588 3 13 1 293 80 280 1 233 5149 3 36 395 1 597 5 0 5057 74 1 
294 1 250 3484 50 42 1306 89 219 421 282 2 1331 130 4 2 7 202 652 21 6109 3455 18 2 1 8 1 6 3239 41 1 0 17 1 123 2 15572 4 16 1 308 81 275 2 243 5071 4 36 410 1 581 5 1 5110 70 1 
295 2 268 3429 48 47 1292 83 216 430 293 1 1306 129 4 2 11 193 591 21 6231 3455 17 2 0 6 1 7 3111 43 3 0 20 2 118 2 15787 6 10 0 306 76 291 1 243 5017 6 40 399 0 591 4 2 5028 73 1 
296 1 231 3497 49 38 1311 85 199 450 289 2 1359 130 4 2 7 190 636 25 6202 3464 19 1 1 9 0 1 3069 40 2 1 15 1 121 1 15559 2 13 1 314 74 278 1 257 5102 5 42 405 2 551 3 1 5116 75 1 
297 2 266 3425 41 40 1296 87 226 408 293 1 1390 143 2 1 4 200 638 22 6064 3510 21 1 1 11 1 5 3120 44 1 1 27 1 126 2 15644 5 11 1 294 68 239 1 270 5125 4 41 398 2 583 7 0 5087 86 1 
298 2 263 3461 50 33 1269 99 220 431 276 1 1337 134 5 1 10 185 582 19 6184 3480 23 0 1 8 0 6 3176 33 2 1 16 0 120 3 15513 2 10 0 316 72 291 1 267 5088 3 42 415 1 566 3 2 5151 83 1 
299 1 263 3425 39 35 1303 89 216 430 299 2 1325 142 3 3 9 198 590 25 6121 3429 17 3 1 8 1 7 3196 40 0 1 22 1 133 0 15689 5 12 0 300 87 284 2 254 5057 4 36 390 1 578 5 2 5092 75 2 
300 1 267 3402 50 37 1303 83 216 424 306 0 1393 137 6 1 12 193 632 18 6124 3468 16 0 0 9 1 5 3172 37 2 0 21 1 137 2 15583 2 15 1 305 79 285 1 249 5136 6 42 420 0 574 4 2 5030 79 0 
301 1 248 3501 50 45 1313 84 218 454 304 1 1373 119 3 2 13 186 599 23 6107 3450 18 1 0 10 1 3 3151 32 1 1 21 1 116 1 15642 5 13 1 308 77 302 2 240 5071 3 41 395 1 578 4 1 5055 83 1 
302 3 255 3475 50 48 1295 78 218 429 283 2 1350 135 6 2 12 204 642 24 6076 3440 19 2 1 1 0 4 3191 39 1 0 23 1 128 2 15593 4 13 0 293 71 276 2 251 5093 6 39 380 2 569 4 1 5099 86 2 
303 2 238 3473 52 42 1323 85 220 437 298 2 1370 127 6 1 10 195 642 29 6151 3462 18 1 1 7 1 4 3113 34 1 1 19 2 120 2 15618 3 9 1 274 73 290 3 257 5084 4 40 391 2 577 6 1 5047 80 1 
304 2 259 3485 49 42 1266 89 226 410 305 1 1319 124 6 1 13 183 654 25 6148 3457 15 3 1 7 1 5 3129 41 1 0 17 2 126 2 15591 6 15 1 301 79 294 1 246 5091 3 38 390 1 597 5 2 5088 80 2 
305 1 243 3441 51 33 1306 86 194 421 304 1 1371 138 5 1 12 203 650 18 6103 3502 27 2 1 9 0 5 3153 38 0 0 21 2 120 2 15628 4 11 1 298 70 297 1 258 5132 4 41 402 1 585 5 1 4981 81 1 
306 3 258 3448 48 40 1321 87 214 433 288 1 1391 126 3 3 5 201 622 18 6061 3500 21 3 0 7 1 6 3124 38 0 1 21 2 124 1 15699 2 8 0 280 75 292 2 256 5091 3 39 382 0 582 5 0 5064 82 1 
307 2 239 3501 46 35 1304 92 240 423 286 2 1328 122 7 1 13 189 631 26 6187 3489 18 3 1 13 0 5 3151 42 3 1 17 1 131 2 15599 2 12 1 294 77 288 1 251 5070 4 34 414 1 573 3 1 5017 75 1 
308 1 258 3377 48 44 1264 80 213 431 300 2 1386 139 3 1 13 201 645 20 6184 3449 19 3 1 13 1 5 3237 41 2 0 25 2 134 2 15642 6 12 1 275 73 286 2 259 5019 3 54 401 2 571 3 1 5043 79 1 
309 1 269 3426 49 52 1263 98 228 423 289 1 1382 135 4 2 11 193 618 24 6105 3461 22 2 0 8 1 4 3189 38 2 1 19 1 143 2 15620 3 13 0 309 81 284 1 252 5063 2 39 380 1 581 5 0 5110 80 1 
310 1 252 3443 47 37 1303 91 192 454 286 0 1344 147 5 1 11 203 629 21 6072 3490 18 3 1 6 1 5 3208 49 2 1 22 2 131 1 15620 2 15 1 287 69 267 1 248 5123 7 42 379 2 609 6 1 5021 77 2 
311 1 232 3439 48 36 1293 94 223 430 285 1 1377 138 4 3 14 198 633 22 6182 3450 18 2 1 8 1 3 3132 35 2 1 22 1 136 1 15630 5 12 1 319 71 274 2 260 5059 4 44 406 0 602 7 1 5040 76 1 
312 1 249 3432 52 50 1271 86 219 421 309 1 1341 134 3 3 14 197 597 18 6235 3407 21 1 0 7 1 5 3162 42 2 1 22 1 125 2 15573 5 15 1 290 73 282 3 265 5175 7 43 392 1 559 2 1 5057 81 1 
313 2 219 3502 57 35 1337 99 216 415 301 2 1339 137 5 3 12 194 614 21 6152 3426 19 3 1 6 0 5 3151 36 1 0 16 2 133 2 15662 4 7 0 343 80 260 0 258 5100 3 43 414 2 559 2 1 4976 69 2 
314 3 270 3447 43 43 1256 96 223 421 284 1 1334 124 4 1 9 203 614 28 6192 3461 25 2 1 9 1 2 3152 44 3 0 18 0 129 1 15579 6 12 0 309 85 275 2 261 5094 3 39 401 2 585 4 2 5091 79 1 
315 3 262 3416 44 42 1297 100 191 424 289 0 1377 141 5 3 11 190 656 17 6143 3427 15 1 0 10 0 5 3161 29 3 0 24 1 136 0 15636 4 8 1 321 84 289 3 232 5144 4 37 375 2 575 5 1 5061 76 2 
316 0 277 3474 43 41 1282 82 217 427 289 1 1376 138 6 2 12 189 615 24 6202 3454 26 0 0 9 0 3 3177 38 2 1 18 0 130 1 15603 5 18 0 306 73 261 3 276 5045 3 34 370 1 592 4 2 5071 78 1 
317 1 252 3474 47 39 1348 78 212 425 299 2 1307 115 6 1 9 194 636 23 6164 3432 20 1 1 8 1 6 3184 44 0 1 22 1 140 3 15560 6 12 1 295 79 273 1 253 5156 3 45 374 0 562 3 1 5068 76 1 
318 3 235 3424 46 33 1309 80 220 387 295 1 1338 121 6 2 6 194 653 25 6107 3456 16 1 1 8 1 5 3197 44 2 1 22 1 125 1 15642 7 12 1 307 85 289 0 261 5121 6 34 386 1 605 7 1 5076 68 2 
319 3 246 3513 44 40 1289 88 212 434 293 2 1324 130 6 1 12 193 614 16 6134 3427 25 2 0 9 0 5 3172 35 1 1 31 1 120 2 15730 7 16 1 299 71 280 2 244 5062 4 39 389 1 589 3 2 5049 76 0 
320 3 230 3538 45 41 1277 88 218 437 294 1 1349 139 5 1 11 191 635 24 6207 3453 22 1 0 4 1 7 3165 41 2 0 19 1 128 3 15699 5 13 0 291 74 294 3 238 5000 7 40 355 1 544 6 1 5056 81 1 
321 1 247 3411 38 39 1273 89 207 442 292 2 1361 129 6 1 10 207 611 19 6164 3412 14 2 0 8 1 4 3186 41 1 0 21 0 126 3 15628 2 10 1 308 77 300 0 241 5148 5 33 394 1 563 2 2 5100 80 2 
322 2 247 3517 44 36 1314 100 204 429 308 1 1350 135 5 2 10 196 634 21 6110 3431 17 0 0 9 1 5 3121 38 1 0 26 0 128 2 15639 6 10 1 290 68 278 2 237 5145 6 41 393 0 570 4 1 5071 71 1 
323 1 253 3510 50 44 1300 84 218 421 296 1 1350 147 2 2 7 193 626 21 6159 3461 21 2 1 7 1 2 3107 41 2 0 22 2 124 2 15591 6 14 1 294 81 291 1 246 5139 6 36 393 0 557 3 1 5015 76 2 
324 1 263 3463 54 42 1355 87 189 419 286 0 1327 116 2 2 11 186 636 24 6092 3446 26 3 1 7 1 1 3166 38 2 1 21 0 132 0 15613 4 8 1 311 81 297 1 255 5144 4 39 379 2 581 1 2 5070 77 2 
325 3 256 3477 45 41 1284 95 224 397 299 2 1374 140 5 3 12 197 655 26 6183 3463 15 0 1 9 1 6 3118 34 0 0 24 1 116 3 15709 5 15 1 312 75 292 3 260 4999 4 42 362 0 599 7 1 5012 83 1 
326 1 253 3435 42 34 1287 82 217 453 297 1 1348 128 3 1 11 196 632 24 6106 3460 18 3 0 7 0 4 3156 38 0 1 22 1 124 2 15680 4 15 0 327 73 274 1 246 5101 4 39 399 1 544 1 1 5074 77 1 
327 1 255 3531 47 42 1282 76 232 417 292 2 1361 136 4 3 10 198 646 24 6208 3442 15 1 1 7 1 4 3177 32 2 0 21 2 126 2 15516 5 13 0 308 69 272 1 268 5030 4 43 394 0 587 3 0 5097 79 1 
328 2 243 3447 49 36 1291 91 212 428 304 1 1366 124 7 1 10 200 610 28 6147 3556 23 3 1 6 0 6 3144 33 1 1 17 1 126 2 15543 5 12 1 301 82 289 1 266 5117 2 41 398 2 583 3 2 5035 71 1 
329 0 256 3496 49 41 1306 85 213 420 293 0 1333 136 4 1 11 178 634 22 6171 3389 22 1 1 6 1 6 3157 44 1 1 21 1 126 2 15691 5 12 0 306 77 276 2 271 5050 6 40 384 2 552 5 2 5072 82 2 
330 0 239 3412 47 40 1308 96 214 412 297 1 1325 143 3 1 14 203 643 21 6239 3512 16 3 1 9 1 5 3147 41 2 1 24 0 128 1 15609 5 12 1 291 76 268 3 257 5064 7 48 390 2 577 6 0 5059 80 1 
331 1 273 3407 46 41 1289 90 218 441 309 2 1379 125 5 2 11 210 629 23 6172 3375 18 1 1 5 1 7 3164 46 3 1 20 2 145 1 15567 7 11 0 312 72 281 2 261 5069 5 51 398 1 583 5 2 5112 73 1 
332 0 250 3457 40 42 1313 90 200 402 294 2 1309 125 4 3 10 180 632 26 6036 3488 17 2 0 5 0 8 3210 43 2 0 24 2 133 3 15712 5 14 1 305 91 286 2 256 5072 5 32 400 2 579 5 1 5029 81 2 
333 2 249 3425 41 42 1291 91 222 421 300 1 1365 120 3 1 7 186 668 21 6132 3502 23 2 1 11 1 5 3104 48 0 1 24 2 126 1 15619 4 13 0 317 67 296 2 255 5109 5 42 379 1 573 4 1 5052 83 2 
334 1 260 3482 44 43 1300 96 195 409 310 0 1373 145 6 1 13 195 650 22 6161 3438 21 1 0 8 0 3 3212 35 2 1 17 2 132 3 15537 5 9 1 303 80 278 2 259 5065 6 43 397 2 584 4 1 5054 82 2 
335 2 237 3432 46 43 1305 86 205 452 292 2 1303 137 3 3 13 203 640 22 6215 3388 20 1 1 8 1 4 3139 37 2 1 22 1 131 2 15625 3 11 1 295 78 297 3 250 5120 6 35 398 1 554 6 1 5126 67 2 
336 1 257 3484 48 35 1319 81 224 435 305 1 1303 133 5 1 11 196 626 28 6171 3425 18 2 0 9 0 5 3116 37 2 0 23 0 107 1 15714 4 9 0 300 73 266 2 265 5047 3 50 405 1 551 7 1 5090 70 0 
337 2 264 3576 47 45 1322 90 208 405 308 0 1357 132 4 1 13 198 632 23 6147 3436 19 2 0 7 0 7 3105 44 3 1 19 1 121 1 15537 5 14 0 301 74 274 1 268 5152 5 47 392 2 582 7 2 4998 68 0 
338 1 257 3442 45 43 1320 94 220 450 295 1 1346 129 6 3 8 196 651 25 6129 3416 20 2 1 5 0 7 3197 35 0 0 25 2 122 0 15581 6 8 0 318 84 295 1 250 5131 4 43 400 0 577 5 1 5007 80 1 
339 2 224 3454 53 44 1296 98 207 406 296 2 1372 140 4 1 10 197 623 22 6122 3391 20 3 1 6 0 6 3192 40 0 1 17 1 127 1 15746 4 11 0 327 75 268 2 273 5075 3 39 397 1 590 6 2 5002 79 1 
340 3 238 3449 45 47 1306 86 206 417 298 2 1345 129 5 3 14 188 618 20 6173 3424 18 0 1 8 1 6 3164 37 2 1 25 1 127 2 15559 3 11 1 316 84 293 1 239 5125 3 43 407 1 594 5 0 5077 83 0 
341 2 266 3475 45 44 1283 85 204 419 289 1 1340 126 7 2 12 205 654 25 6203 3402 18 2 1 5 1 4 3132 34 2 0 21 1 136 3 15536 4 10 1 305 72 273 3 266 5174 2 38 376 2 596 3 1 5082 72 1 
342 1 262 3450 47 40 1285 86 226 454 290 2 1306 144 4 2 7 198 637 18 6110 3430 15 1 1 6 0 5 3166 38 3 1 20 1 124 2 15725 3 14 1 301 74 295 1 247 5079 5 38 401 0 563 3 0 5057 74 1 
343 1 256 3478 46 36 1225 84 239 434 315 2 1284 145 5 2 14 190 627 24 6124 3512 22 3 1 6 1 5 3205 42 1 1 10 1 133 1 15651 7 16 1 293 78 267 2 246 5107 4 44 393 1 534 7 0 5102 86 0 
344 1 245 3456 47 45 1300 82 204 417 282 2 1320 125 6 2 10 214 584 17 6191 3450 20 2 1 6 0 4 3199 35 1 1 17 1 109 2 15726 5 11 0 307 75 276 1 262 5108 5 41 397 1 540 6 2 5059 68 0 
345 1 239 3401 45 37 1296 83 205 411 278 2 1398 138 6 3 8 200 636 25 6233 3488 22 3 1 9 0 5 3144 33 1 1 24 1 136 1 15583 4 11 1 299 80 296 2 273 5105 4 42 370 1 569 6 1 5057 75 2 
346 1 249 3454 52 39 1280 96 212 461 277 2 1284 132 6 1 10 197 626 25 6142 3486 20 3 1 8 1 4 3150 49 2 0 20 0 139 1 15661 3 10 0 291 80 284 2 255 5056 3 42 383 1 583 4 1 5115 84 1 
347 2 258 3438 49 39 1274 83 200 403 296 0 1332 132 4 2 12 191 623 20 6212 3469 21 2 0 9 0 7 3141 37 1 0 19 1 125 2 15622 6 16 1 310 77 280 1 259 5079 6 41 390 1 571 6 1 5120 67 2 
348 2 273 3481 41 41 1310 87 214 421 296 1 1373 142 4 1 11 184 645 23 6179 3399 22 3 1 7 1 5 3176 49 0 1 22 1 126 3 15559 3 13 0 312 78 281 2 250 5002 5 38 405 0 592 5 0 5107 74 2 
349 2 248 3483 48 40 1316 86 211 426 308 0 1339 127 5 1 7 181 629 19 6130 3475 23 3 1 10 0 7 3139 42 3 0 20 1 119 1 15575 2 17 1 281 71 282 2 273 5145 4 43 392 1 587 2 1 5057 78 2 
350 1 260 3478 52 37 1335 81 217 424 295 0 1322 130 2 1 12 192 631 32 6292 3414 20 2 1 7 0 6 3136 36 1 0 19 2 125 1 15534 4 9 1 335 69 279 3 256 5092 4 42 389 1 575 5 2 5032 74 1 
351 2 257 3495 47 37 1309 81 207 411 284 1 1321 128 4 3 13 211 644 24 6070 3410 17 1 1 5 0 4 3139 45 0 1 17 2 121 3 15676 2 13 1 331 74 276 3 244 5079 6 45 389 1 589 3 0 5153 77 1 
352 2 269 3417 46 43 1358 93 226 422 291 1 1358 143 4 2 13 185 655 20 6121 3443 15 1 1 6 1 5 3184 35 2 1 20 2 125 1 15606 5 13 0 301 86 276 1 245 5078 8 51 414 1 564 5 1 5045 81 1 
353 1 246 3459 45 39 1302 95 212 417 313 1 1351 136 6 2 12 201 626 23 6091 3424 20 2 1 5 1 3 3229 42 2 0 18 2 121 2 15567 4 11 0 304 82 280 3 267 5065 4 36 391 0 595 5 1 5114 73 2 
354 3 249 3416 41 34 1319 82 216 440 300 1 1360 136 5 1 9 172 634 19 6207 3420 24 2 0 11 1 6 3165 38 3 1 22 1 127 1 15558 4 11 0 312 70 284 2 262 5071 3 32 384 1 571 5 0 5135 85 1 
355 1 235 3525 52 47 1286 86 223 421 289 2 1372 130 6 2 13 190 646 23 6098 3492 23 2 1 8 0 4 3103 37 2 1 19 1 130 2 15508 5 12 0 303 76 285 1 257 5081 4 43 386 1 600 4 2 5120 80 2 
356 2 246 3522 46 42 1323 89 215 419 299 1 1394 121 4 1 14 189 611 17 6105 3456 21 2 1 9 1 3 3134 40 0 1 22 2 133 2 15592 4 12 1 303 76 263 1 256 5117 5 35 394 0 566 6 0 5108 66 2 
357 1 235 3420 45 31 1297 88 234 416 319 1 1338 130 6 1 11 197 646 20 6151 3474 19 0 1 10 1 4 3180 36 1 0 17 2 143 2 15593 6 13 1 308 73 271 1 244 5119 6 48 397 2 589 5 1 5045 75 1 
358 2 236 3455 47 33 1310 93 225 436 305 1 1357 125 5 3 9 183 631 25 6190 3360 23 0 1 10 1 3 3142 52 1 0 20 2 127 2 15651 4 12 1 302 62 279 1 258 5085 6 43 410 2 572 4 2 5105 75 0 
