  Verrucomicrobia Chlamydiae stramenopiles Aquificae Actinobacteria Chlorobi Diplomonadida Lobosea Euglenozoa unclassified Cyanobacteria Lentisphaerae Rhodophyta candidate Viridiplantae Mycetozoa Thermotogales Dictyoglomi artificial ssDNA Pelobiontida Nitrospirae Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental plasmids Cryptophyta Fusobacteria Korarchaeota ssRNA Crenarchaeota Alveolata Entamoebidae Jakobidae Nanoarchaeota Bacteroidetes Rhizaria dsRNA Parabasalidea Metazoa Acanthamoebidae Thermotogae Glaucocystophyceae Fibrobacteres Euryarchaeota Spirochaetales
23 3 258 3525 46 39 1279 87 221 411 297 1 1352 133 3 1 10 174 640 23 6147 3468 21 2 1 10 0 7 3077 42 2 1 19 0 130 1 15529 4 14 1 276 79 297 1 237 5124 7 34 397 1 567 5 0 5180 69 1 
24 2 238 3496 56 42 1316 85 213 425 296 2 1348 133 5 2 8 195 644 28 6061 3486 22 1 1 6 0 6 3110 40 2 0 20 0 136 1 15668 4 12 0 307 85 282 2 257 5118 5 42 404 1 558 5 2 5060 74 0 
25 3 248 3500 52 36 1293 89 220 459 288 1 1370 129 6 2 12 187 652 19 6164 3450 17 0 1 8 1 4 3113 35 1 1 24 1 122 2 15517 5 17 1 303 83 280 0 267 5104 7 36 407 2 598 4 1 5049 85 0 
26 2 260 3458 38 38 1291 92 207 434 298 2 1329 127 4 1 12 198 618 23 6165 3411 23 1 1 9 0 3 3106 42 1 1 14 1 123 2 15756 6 8 1 308 74 276 3 245 5115 1 32 406 0 545 4 1 5084 79 2 
27 2 255 3437 52 43 1271 91 235 422 296 0 1370 125 5 1 12 200 633 24 6168 3418 20 2 1 9 1 3 3151 42 2 0 20 2 134 3 15625 5 15 1 309 76 299 1 242 5074 4 37 396 1 621 3 2 5012 81 2 
28 2 253 3496 47 50 1316 93 207 438 325 1 1328 125 4 0 11 203 606 21 6181 3395 20 1 1 8 0 3 3152 40 3 0 24 1 123 0 15589 2 11 0 307 84 288 1 257 5127 4 39 401 1 583 4 2 5043 74 1 
29 1 244 3419 48 42 1301 93 216 428 289 1 1362 122 5 1 11 204 636 19 6210 3398 20 2 1 7 0 4 3161 39 3 1 24 2 130 2 15631 6 9 1 309 75 280 0 243 5099 4 43 371 1 583 3 1 5089 69 2 
30 3 247 3510 44 39 1281 85 215 455 307 2 1384 133 7 2 7 204 635 17 6103 3410 18 3 0 8 1 4 3179 39 3 1 17 2 116 2 15568 6 11 1 298 80 284 1 247 5059 5 48 402 2 567 3 2 5122 77 0 
31 1 247 3434 52 42 1330 90 229 437 286 1 1340 116 6 2 16 201 634 26 6147 3433 22 0 0 7 0 5 3141 36 2 0 24 1 125 1 15665 5 11 1 300 76 300 2 261 5025 6 41 389 1 567 6 1 5101 82 2 
32 2 259 3484 54 46 1257 93 221 414 303 1 1324 139 5 0 12 197 638 24 6200 3435 19 2 0 6 0 5 3118 32 2 0 21 1 126 2 15629 2 11 1 293 79 289 1 239 5174 5 44 372 2 587 7 1 4992 78 1 
33 2 224 3476 46 42 1274 95 207 436 290 0 1342 134 5 2 12 206 638 19 6129 3462 18 3 1 9 0 3 3178 42 2 0 28 2 122 2 15664 4 9 0 274 75 278 1 251 5145 4 45 406 2 584 4 0 5004 76 0 
34 1 272 3428 47 45 1277 97 204 409 294 2 1375 148 5 1 10 209 640 20 6129 3455 19 0 0 8 1 6 3134 42 2 1 21 0 126 1 15618 5 13 0 310 80 268 0 248 5062 3 43 403 1 587 6 1 5094 77 2 
35 2 262 3486 48 44 1268 102 215 442 291 1 1338 130 6 3 11 185 631 18 6133 3490 20 1 1 8 0 6 3198 41 2 1 24 1 128 1 15534 4 12 0 316 77 276 3 245 5165 4 38 410 1 578 5 1 4996 74 1 
36 1 280 3444 52 43 1315 86 191 444 308 2 1346 140 6 3 12 197 620 23 6114 3451 19 3 1 8 1 5 3148 41 2 1 23 2 115 1 15553 5 16 1 302 69 282 2 259 5099 7 40 410 1 573 5 0 5119 83 2 
37 2 239 3475 51 42 1317 92 226 432 299 0 1312 138 5 2 14 188 672 25 6120 3458 17 2 0 8 1 6 3175 41 1 0 19 2 143 1 15528 5 11 0 316 78 290 0 244 5105 3 33 389 2 602 3 2 5063 79 0 
38 2 265 3523 49 40 1319 92 206 414 289 1 1317 119 6 3 9 207 632 19 6226 3441 20 1 0 9 0 5 3084 44 1 1 21 0 135 2 15531 6 13 1 291 76 274 1 248 5135 5 42 390 1 551 3 1 5135 83 0 
39 2 259 3419 49 45 1287 90 211 420 296 1 1368 120 5 1 13 190 613 21 6180 3499 24 1 0 8 1 3 3123 43 1 1 18 2 118 1 15561 6 11 1 302 82 275 2 259 5150 3 40 402 2 553 3 1 5102 70 0 
40 1 255 3441 57 37 1317 90 226 442 310 1 1338 122 3 3 11 199 645 22 6148 3442 16 2 1 7 0 3 3153 36 1 1 17 0 118 3 15495 2 12 0 304 80 298 2 232 5143 6 34 401 1 544 6 1 5146 77 2 
41 2 241 3488 46 46 1299 87 210 441 310 0 1349 125 3 2 9 194 634 20 6170 3419 23 0 1 7 1 5 3229 42 2 1 18 0 130 1 15459 3 12 1 305 78 271 2 256 5160 6 38 392 0 571 4 1 5062 77 1 
42 2 252 3493 53 39 1267 95 204 420 295 2 1326 134 5 0 12 182 642 31 6247 3383 17 2 1 9 0 5 3165 41 3 1 25 1 121 2 15698 5 14 0 305 78 282 1 264 5068 6 40 400 1 585 6 1 4975 74 2 
