  LD GT CB CE PL GH
733 3217 6002 16553 21133 43 557 
734 3229 5909 16584 21136 48 578 
735 3371 5810 16471 21126 43 563 
736 3274 5908 16457 21174 36 586 
737 3350 5903 16673 20957 46 553 
738 3285 6018 16655 20976 36 539 
739 3243 5997 16631 20958 46 555 
740 3321 5935 16760 20938 42 524 
741 3290 5914 16751 20876 39 580 
742 3326 5740 16530 21307 42 564 
743 3328 5880 16645 21048 31 563 
744 3261 5980 16775 20855 35 561 
745 3266 5948 16715 20947 28 564 
746 3172 5933 16756 21086 41 530 
747 3265 5919 16555 21047 44 558 
748 3258 5828 16661 21171 49 549 
749 3271 5866 16740 20995 47 571 
750 3360 5982 16740 20863 50 525 
751 3250 5996 16495 21139 37 547 
752 3349 5865 16690 20937 39 569 
753 3266 5958 16512 21168 48 579 
754 3294 5981 16691 20985 34 564 
755 3295 5829 16793 21062 40 502 
756 3254 5928 16562 21122 39 530 
757 3298 6017 16548 20933 40 554 
758 3205 5874 16654 21172 45 569 
759 3302 6040 16442 21052 45 562 
760 3249 5829 16674 21070 39 562 
761 3304 5913 16637 21025 38 553 
762 3195 6057 16596 21013 45 573 
763 3296 5897 16697 21030 34 531 
764 3262 5961 16749 20930 43 560 
765 3323 5908 16758 20980 46 547 
766 3287 5946 16553 21087 52 564 
767 3373 5875 16727 20941 39 570 
768 3362 5820 16600 21050 42 562 
769 3264 5960 16568 21033 47 607 
770 3353 5990 16582 20936 44 550 
771 3328 5899 16638 20982 35 604 
772 3266 5999 16642 20983 45 546 
773 3342 5869 16629 20991 49 541 
774 3335 6029 16599 20936 47 550 
775 3217 6026 16510 21114 43 562 
776 3337 5982 16494 21004 41 574 
777 3248 5962 16627 20974 55 583 
778 3287 5910 16543 21141 41 525 
779 3301 5977 16709 20851 38 557 
780 3304 6006 16467 21104 47 559 
781 3272 5843 16592 21136 40 544 
782 3269 5972 16689 20915 44 559 
783 3309 5934 16648 20981 41 551 
784 3277 6001 16540 21079 48 529 
785 3337 5991 16344 21153 41 549 
786 3240 5904 16605 21118 47 610 
787 3295 6024 16585 20976 45 575 
788 3367 6042 16674 20805 34 564 
789 3326 5982 16571 21029 36 577 
790 3286 5955 16659 21001 32 559 
791 3261 5870 16657 21081 35 562 
792 3366 5999 16629 20902 37 567 
793 3269 5860 16668 21164 34 520 
794 3358 5856 16677 20988 52 550 
795 3317 5954 16590 20976 44 557 
796 3320 5992 16558 21056 27 529 
797 3246 5820 16670 21105 48 586 
798 3265 5926 16507 21175 35 577 
799 3313 5977 16656 20887 32 582 
800 3325 5904 16746 20951 30 589 
801 3302 5958 16577 20989 38 542 
802 3316 5968 16569 21078 46 538 
803 3335 5906 16748 20916 48 542 
804 3407 6030 16394 21006 38 567 
805 3258 5796 16615 21103 43 567 
806 3328 5783 16628 21132 40 530 
807 3266 5955 16565 21025 34 542 
808 3294 5937 16612 21159 30 515 
809 3291 5968 16417 21192 47 577 
810 3328 5837 16655 21070 41 516 
811 3279 5935 16631 20980 55 596 
812 3265 5998 16637 21106 42 527 
813 3231 6065 16794 20834 40 518 
814 3229 5884 16621 21153 39 553 
815 3326 6025 16645 20869 50 547 
816 3218 5898 16610 21076 38 575 
817 3393 5868 16543 21081 44 563 
818 3352 5871 16660 20947 42 579 
819 3331 5915 16657 20923 38 571 
820 3372 5892 16594 21031 47 551 
821 3247 6021 16513 21146 36 550 
822 3275 6017 16525 21051 49 581 
823 3283 5859 16653 21089 48 542 
824 3334 5933 16656 20871 44 589 
825 3195 5993 16621 21080 39 562 
826 3371 5907 16564 21048 39 547 
827 3307 5927 16597 21038 47 570 
828 3250 5916 16612 21040 41 578 
829 3269 5839 16526 21164 37 563 
830 3169 5902 16625 21079 40 557 
831 3312 5917 16613 21002 42 575 
832 3313 6027 16616 20921 42 538 
833 3294 6012 16552 21029 36 575 
834 3312 5982 16505 21020 39 563 
835 3320 6037 16521 21028 44 580 
836 3337 5983 16385 21087 50 610 
837 3291 6009 16591 20972 39 562 
838 3307 5839 16444 21287 44 588 
839 3276 5994 16707 20914 39 606 
840 3319 5917 16671 20924 44 567 
841 3316 5964 16788 20788 50 558 
842 3291 5921 16522 21124 38 541 
843 3292 5903 16608 21000 44 564 
844 3305 6044 16454 21134 41 543 
845 3304 5962 16545 21066 33 593 
846 3276 5977 16677 20903 42 561 
847 3383 5958 16735 20838 40 509 
848 3289 6006 16587 20962 41 562 
849 3305 5879 16590 20997 26 598 
850 3228 5883 16741 21052 38 553 
851 3366 5913 16639 20994 39 530 
852 3266 5909 16713 20969 47 556 
853 3243 5880 16494 21205 47 565 
854 3310 5987 16609 21018 40 531 
855 3277 5895 16604 21079 41 529 
856 3333 5908 16461 21125 36 567 
857 3306 6002 16605 20944 43 546 
858 3306 5998 16587 20959 45 545 
859 3267 6004 16574 21064 35 530 
860 3202 5933 16727 20978 41 556 
861 3286 5840 16591 21101 47 593 
862 3270 5989 16687 20954 37 553 
863 3337 5940 16680 20895 39 581 
864 3284 5917 16752 20912 44 560 
865 3368 5939 16686 20801 36 559 
866 3386 5954 16527 20907 44 581 
867 3284 5938 16491 21239 60 550 
868 3236 5919 16636 21060 44 564 
869 3267 5930 16488 21168 36 567 
870 3334 6040 16546 20922 51 525 
871 3187 5984 16619 21097 43 580 
872 3301 5792 16747 21003 46 549 
873 3308 5893 16730 20888 39 550 
874 3253 5918 16546 21193 47 553 
875 3308 5959 16505 21115 35 555 
876 3284 5962 16643 20952 44 543 
877 3274 5909 16611 21136 38 581 
878 3319 5878 16755 20970 34 527 
879 3327 5847 16655 21131 36 530 
880 3279 5943 16666 20953 47 572 
881 3180 5965 16697 21051 48 525 
882 3307 6002 16415 21178 48 554 
883 3374 5925 16835 20807 47 553 
884 3302 5885 16608 21031 40 546 
885 3242 5897 16786 20897 49 571 
886 3260 5921 16632 21001 48 597 
887 3328 6146 16468 21002 37 557 
888 3327 5935 16460 21137 37 573 
889 3284 5871 16572 21079 49 562 
890 3287 6019 16570 20962 35 595 
891 3258 5931 16694 21005 37 550 
892 3298 6006 16719 20866 39 542 
893 3275 5908 16515 21147 38 563 
894 3272 5883 16635 21082 38 538 
895 3272 5823 16734 21056 39 524 
896 3293 5949 16737 20993 43 511 
897 3384 5993 16495 20946 43 566 
898 3343 5855 16647 21041 48 535 
899 3321 5910 16781 20859 42 578 
900 3304 5978 16609 20929 44 577 
901 3285 5955 16807 20931 33 552 
902 3305 5964 16585 21111 49 527 
903 3299 5966 16565 20990 32 557 
904 3332 5958 16590 20984 44 591 
905 3327 5958 16552 21017 50 545 
906 3248 5769 16649 21154 37 573 
907 3342 5826 16599 21122 43 558 
908 3225 6061 16679 20977 40 540 
909 3386 5895 16615 20971 47 582 
910 3303 5944 16631 20974 45 548 
911 3322 5939 16750 20873 39 559 
912 3322 5944 16584 20971 38 580 
913 3344 5898 16599 21009 40 561 
914 3294 5993 16635 20981 42 571 
915 3293 5982 16358 21175 40 551 
916 3298 5884 16658 20976 40 563 
917 3310 5908 16713 20982 45 547 
918 3349 5941 16568 20946 42 541 
919 3340 6039 16624 20927 38 544 
920 3367 5932 16552 21025 50 567 
921 3276 5909 16593 21179 42 546 
922 3329 5940 16594 21020 50 558 
923 3299 5954 16745 20844 49 598 
924 3201 5921 16625 21097 47 580 
925 3394 5915 16425 21115 34 541 
926 3337 5957 16650 20935 39 554 
927 3264 5996 16543 21024 48 558 
928 3294 6066 16615 20873 42 544 
929 3295 5930 16634 20932 38 580 
930 3180 5915 16562 21170 31 559 
931 3262 5868 16652 21090 44 566 
932 3316 5966 16581 21012 37 533 
933 3319 6052 16595 20914 37 563 
934 3330 5947 16689 20919 36 571 
935 3299 5880 16695 20991 44 569 
936 3246 5995 16420 21179 44 570 
937 3372 5733 16804 20928 35 557 
938 3257 5929 16576 21159 40 558 
939 3322 5976 16568 20957 39 574 
940 3229 5839 16686 21039 30 542 
941 3246 5896 16683 21034 42 541 
942 3267 5954 16653 21041 29 577 
943 3256 5917 16546 21172 49 566 
944 3327 5977 16637 20963 38 559 
945 3259 6047 16725 20946 42 546 
946 3348 6042 16610 20840 39 533 
947 3318 5971 16495 21097 50 548 
948 3279 5821 16598 21216 40 583 
949 3289 6029 16531 20907 43 591 
950 3322 5905 16568 21125 48 537 
951 3396 6040 16581 20779 47 543 
952 3283 5994 16757 20877 41 512 
953 3283 5914 16744 20898 35 593 
954 3284 5878 16611 21065 38 567 
955 3290 5885 16678 21076 30 565 
956 3319 5978 16516 21086 36 571 
957 3321 6097 16473 20963 44 539 
958 3223 6001 16613 21063 45 538 
959 3289 5940 16568 21026 44 552 
960 3354 5847 16756 20926 43 573 
961 3332 5789 16626 21051 49 552 
962 3258 5895 16559 21105 35 596 
963 3292 5840 16659 21121 36 543 
964 3188 5942 16608 21189 43 551 
965 3295 5857 16599 21118 36 560 
966 3287 5931 16623 21028 48 586 
967 3230 6014 16600 20986 37 591 
968 3296 6009 16552 21063 47 518 
969 3348 5839 16629 21136 47 540 
970 3312 5860 16607 21076 36 549 
971 3365 5983 16471 20983 49 601 
972 3330 5956 16610 20961 39 546 
973 3257 5902 16651 21076 32 572 
974 3280 5935 16504 21053 37 587 
975 3320 5986 16582 20941 40 563 
976 3336 5896 16498 21157 37 567 
977 3275 5892 16668 20987 54 608 
978 3234 5955 16562 21091 45 566 
979 3275 5991 16634 20983 46 589 
980 3279 5858 16605 21141 48 552 
981 3311 6017 16625 20948 41 551 
982 3234 5984 16542 21064 49 588 
983 3335 5867 16561 21061 38 562 
984 3241 5826 16848 20989 42 543 
985 3278 5991 16778 20797 33 566 
986 3300 5913 16617 21067 51 540 
987 3316 5898 16478 21180 35 584 
988 3245 5976 16516 21159 43 558 
989 3282 5956 16667 20980 44 573 
990 3273 5967 16623 20942 44 584 
991 3288 5869 16620 21019 45 558 
992 3315 5846 16708 20963 47 571 
993 3289 5892 16605 21094 43 543 
994 3307 5938 16587 21023 48 552 
995 3236 6002 16517 21137 27 569 
996 3357 5934 16515 21073 38 562 
997 3303 5981 16500 21105 44 560 
998 3306 5906 16636 20930 38 587 
999 3289 5874 16504 21200 36 543 
