  LD GT CB CE PL GH
167 3371 5954 16513 21073 40 549 
168 3211 6023 16607 20989 48 557 
169 3332 5971 16651 20872 40 566 
170 3288 5925 16588 21083 41 560 
171 3313 5940 16440 21122 49 584 
172 3403 6045 16450 20962 39 527 
173 3296 5952 16466 21104 53 586 
174 3331 5972 16433 21061 37 584 
175 3320 6023 16554 21005 39 548 
176 3320 5975 16618 20956 38 571 
177 3333 5971 16603 20961 35 543 
178 3269 5927 16843 20891 39 567 
179 3210 5953 16682 20988 42 552 
180 3353 5973 16420 21032 49 566 
181 3350 5849 16671 20953 34 561 
182 3287 5893 16563 21025 40 591 
183 3228 6036 16492 21056 51 615 
184 3246 5952 16663 21080 46 556 
185 3396 5890 16540 21073 40 536 
186 3225 6016 16718 20942 43 559 
187 3340 5879 16549 21040 39 579 
188 3376 5912 16557 21035 37 564 
189 3272 5864 16652 21065 50 542 
190 3270 6026 16628 20993 49 537 
191 3343 5904 16601 20999 45 557 
192 3193 6041 16692 20984 41 563 
193 3295 5916 16571 21096 46 537 
194 3355 5989 16588 20919 34 600 
195 3282 5986 16641 20927 35 541 
196 3338 5919 16775 20804 41 591 
197 3241 5925 16676 21094 44 524 
198 3278 5902 16487 21229 61 546 
199 3319 5997 16537 21022 37 523 
200 3272 5795 16776 21051 42 588 
201 3348 5895 16677 21027 35 577 
202 3264 5836 16605 21072 45 585 
203 3317 5925 16616 20992 47 584 
204 3265 5972 16654 20977 51 567 
205 3314 5849 16612 21040 41 574 
206 3319 5922 16639 21014 43 542 
207 3226 5861 16784 20966 43 539 
208 3293 5859 16547 21090 43 568 
209 3228 5937 16665 21101 36 562 
210 3300 5946 16627 21041 37 547 
211 3302 5877 16783 20880 40 552 
212 3278 5983 16590 20985 38 569 
213 3287 5904 16699 21006 42 537 
214 3378 5828 16551 21085 50 572 
215 3209 6062 16506 21053 40 560 
216 3279 5880 16657 21000 28 559 
217 3348 5915 16539 21006 43 563 
218 3213 5895 16706 20989 45 549 
219 3286 5952 16644 20938 42 553 
220 3313 5881 16592 21140 46 545 
221 3359 5882 16628 21001 40 571 
222 3230 5913 16675 21067 35 564 
223 3340 5953 16500 21051 48 569 
224 3295 6018 16373 21110 34 580 
225 3273 6014 16585 21090 45 543 
226 3349 5905 16533 21007 44 572 
227 3252 5980 16650 21058 43 572 
228 3230 5976 16677 20956 41 569 
229 3264 5935 16764 20832 50 565 
230 3249 5943 16576 21040 50 546 
231 3344 5991 16537 20999 45 551 
232 3232 5923 16672 21147 47 534 
233 3192 6052 16498 21073 45 583 
234 3321 5952 16603 21053 47 547 
235 3160 6025 16663 21000 45 557 
236 3311 6041 16497 21073 43 540 
237 3328 6011 16618 20961 49 563 
238 3259 5904 16685 21006 48 555 
239 3179 5864 16713 21093 42 568 
240 3238 5959 16637 20991 43 575 
241 3328 5889 16551 21068 37 545 
242 3330 5874 16676 20887 44 592 
243 3256 5971 16633 21091 33 525 
244 3351 5981 16571 20931 40 563 
245 3275 5772 16523 21290 44 529 
246 3308 6012 16662 20889 52 531 
247 3296 6014 16503 21008 28 555 
248 3229 5951 16453 21240 44 568 
249 3345 5974 16503 21067 44 511 
