  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
140 5283 5598 123 54 4835 36 498 1818 418 3006 387 5 2 4 1087 5 3490 1608 19 0 18 1 558 62 1 1064 0 16005 0 126 16 294 1435 1075 91 69 588 0 
141 5243 5735 99 51 4926 36 556 1748 393 2960 373 1 1 5 1088 3 3510 1587 17 0 14 2 521 71 1 1017 0 15865 0 123 13 298 1545 1141 91 49 571 1 
142 5188 5705 108 51 4990 25 511 1745 418 3042 371 4 2 2 1061 4 3384 1697 20 0 17 2 521 65 0 1033 1 15976 1 110 13 289 1534 1090 106 44 550 1 
143 5309 5585 103 58 4909 42 482 1859 382 3055 368 4 3 2 1044 7 3364 1686 18 0 13 0 512 67 2 1061 1 15990 0 109 22 285 1505 1073 84 65 600 0 
144 5225 5592 106 55 4987 30 506 1872 408 2970 352 3 1 2 1151 4 3538 1587 20 1 13 0 514 66 0 1030 0 15865 0 117 18 309 1522 1075 85 60 619 0 
145 5298 5608 124 45 4899 32 512 1810 394 3099 378 4 1 1 1097 5 3519 1625 18 0 10 3 522 58 0 1043 0 15954 1 115 15 294 1510 1005 78 62 563 0 
146 5175 5625 112 53 4975 40 481 1859 414 3091 394 4 2 4 1064 3 3480 1609 16 0 21 3 515 65 0 1022 1 15990 1 113 12 275 1519 1044 83 59 548 0 
147 5366 5663 105 56 5031 29 514 1831 436 2943 375 4 4 3 1046 8 3423 1640 15 1 16 1 536 58 1 1036 0 15846 1 121 18 290 1460 1073 86 62 585 0 
148 5200 5527 105 51 4927 18 550 1911 432 3108 417 6 4 4 1094 6 3356 1571 15 0 13 0 533 61 2 1054 1 15999 0 127 15 312 1439 1058 96 71 598 0 
149 5290 5602 106 53 4893 29 532 1831 389 3114 334 3 2 1 1098 8 3459 1642 26 0 16 1 550 62 1 1028 0 15834 0 119 14 266 1520 1087 88 61 600 1 
150 5241 5586 96 64 4945 38 539 1820 443 2941 388 2 3 6 1110 5 3406 1718 11 1 12 0 538 62 0 1057 0 15845 0 105 14 298 1546 1065 96 71 585 0 
151 5264 5526 103 59 4981 31 564 1815 395 3061 372 7 4 5 1109 7 3415 1591 16 1 8 1 525 73 1 1001 0 15928 1 136 16 293 1541 1089 73 63 604 1 
152 5282 5582 115 56 4878 33 487 1832 404 3054 379 5 3 3 1056 10 3425 1605 23 0 10 2 512 73 0 1079 0 16022 0 125 15 259 1507 1082 84 63 635 1 
153 5230 5683 115 45 4835 31 511 1818 411 3135 373 1 3 5 1134 6 3471 1617 16 0 13 1 506 66 2 1069 0 15896 0 102 22 307 1470 1096 98 59 554 0 
154 5175 5528 103 61 4965 34 514 1838 437 2979 405 3 3 5 1128 7 3488 1631 19 0 10 1 525 62 2 1044 1 15974 0 116 19 284 1505 1083 85 60 596 0 
155 5313 5748 101 60 4894 36 553 1865 406 2956 399 4 1 5 1105 9 3438 1590 17 1 14 2 494 52 0 1088 0 15795 0 116 17 272 1510 1046 99 66 624 0 
156 5177 5504 110 67 4904 29 509 1860 410 3069 362 6 0 3 1108 8 3447 1656 14 0 12 3 553 61 0 1064 0 15977 1 105 16 266 1535 1098 91 69 604 0 
157 5309 5511 120 57 4982 40 528 1789 424 2968 361 3 2 1 1130 4 3502 1664 15 0 8 1 530 67 0 1017 0 15880 0 135 17 287 1494 1082 103 65 590 0 
158 5285 5683 110 54 4946 24 506 1814 401 3128 366 6 0 3 1026 4 3483 1645 14 0 17 0 559 58 0 966 0 15845 1 120 13 291 1518 1079 89 60 573 1 
159 5211 5535 88 57 4856 27 517 1844 401 3058 387 5 3 1 1091 4 3483 1639 12 2 12 2 539 50 0 1116 0 15953 0 117 12 302 1468 1152 82 68 593 0 
160 5265 5630 120 64 4915 32 520 1828 406 3113 377 1 3 5 1063 6 3492 1622 19 0 14 0 497 64 0 1067 0 15801 1 105 22 258 1572 1038 93 69 589 0 
161 5253 5669 136 38 4967 26 506 1899 371 3085 386 2 4 4 1066 7 3383 1578 18 1 12 3 541 71 0 1035 1 15811 1 117 14 285 1553 1084 102 68 585 0 
162 5191 5557 105 45 4774 30 526 1833 370 2997 371 6 2 2 1044 4 3429 1638 20 0 17 0 530 57 0 1092 0 16225 0 127 15 300 1554 1065 92 58 593 0 
163 5187 5509 107 56 4885 28 498 1771 408 3045 357 3 6 3 1128 4 3459 1600 17 0 12 3 491 65 0 1020 1 16241 0 137 19 305 1523 1057 87 60 591 0 
164 5232 5543 109 58 4959 31 544 1889 407 3104 375 5 2 3 1054 5 3516 1553 19 0 14 3 539 70 0 1050 0 15853 1 115 16 301 1528 1065 99 74 551 0 
165 5143 5633 131 45 5039 31 485 1860 402 3076 347 5 0 4 1141 6 3391 1603 14 0 12 0 537 71 0 1046 1 15918 1 111 11 254 1532 1048 92 69 611 0 
166 5307 5616 104 58 4871 29 545 1774 425 3075 396 3 4 2 1056 5 3468 1656 12 1 14 2 533 61 2 1065 0 15923 0 134 13 261 1482 1029 85 71 575 0 
167 5227 5527 105 65 4838 30 523 1898 419 3143 375 5 3 4 1107 5 3431 1615 15 0 11 1 526 57 1 1082 0 15882 0 128 14 288 1526 1075 86 60 594 0 
168 5328 5540 111 54 4874 28 521 1860 392 3061 359 5 4 1 1071 5 3477 1616 15 0 16 1 533 73 0 1023 1 16053 0 127 17 290 1467 1051 83 56 594 0 
169 5267 5551 117 59 4995 36 519 1863 426 2961 392 5 4 3 1087 5 3501 1604 14 1 10 2 484 55 1 1066 0 15973 0 118 19 260 1492 1066 84 66 574 1 
170 5218 5713 101 58 4964 30 506 1769 418 3050 374 4 2 1 1071 10 3424 1645 13 0 9 2 532 54 2 1049 1 15920 0 132 14 283 1555 1059 73 50 572 0 
171 5342 5525 115 57 5012 23 512 1778 420 3027 380 5 3 4 1025 5 3446 1642 18 1 14 1 546 66 0 1040 0 15903 0 117 11 286 1526 1127 82 65 585 0 
172 5187 5674 102 64 4871 26 499 1815 424 3037 390 4 2 2 1053 8 3472 1672 18 1 13 2 509 77 2 1012 1 15956 0 117 21 305 1492 1092 86 54 606 1 
173 5330 5516 111 47 4944 29 478 1814 426 3047 392 5 1 4 1098 5 3354 1650 21 1 8 2 527 82 1 1045 0 15957 0 109 12 318 1516 1093 98 50 579 0 
174 5225 5491 98 53 4982 26 516 1813 425 3133 353 2 3 4 1077 9 3387 1617 15 1 12 2 506 57 0 1052 0 16051 0 106 18 284 1511 1065 107 75 602 0 
175 5256 5590 97 55 5015 30 467 1833 395 3005 372 4 7 2 1067 2 3436 1618 11 1 16 1 548 61 0 1056 0 15987 0 135 19 286 1492 1116 85 65 577 0 
176 5055 5520 120 61 4937 29 547 1869 383 3143 379 5 2 2 1127 11 3532 1571 19 0 11 1 509 73 1 1049 0 15934 1 127 13 306 1535 1115 90 60 561 1 
177 5271 5698 109 54 4904 30 504 1836 408 3038 353 3 0 3 1078 7 3476 1618 15 0 12 3 522 72 1 1031 1 15870 0 129 17 281 1552 1037 97 61 580 0 
178 5191 5651 116 56 4946 31 497 1838 416 3064 351 0 1 6 1091 10 3384 1671 16 0 12 4 568 73 0 1041 0 15829 0 125 17 294 1476 1121 101 72 605 0 
179 5232 5571 121 54 4896 32 532 1907 429 3016 369 5 1 5 1009 3 3447 1619 13 0 12 2 580 65 1 1018 0 15925 0 118 9 299 1594 1098 76 58 581 0 
180 5330 5648 107 52 4875 33 514 1867 378 3147 384 5 1 2 1070 5 3358 1568 12 1 10 1 526 68 0 1069 1 15954 1 111 13 279 1492 1053 89 54 603 1 
181 5289 5690 107 48 4916 36 497 1806 414 2955 388 2 5 3 1107 4 3419 1627 18 1 11 4 585 71 0 1037 0 15877 0 112 13 261 1503 1102 81 65 616 0 
182 5333 5604 105 56 4903 39 508 1848 407 3065 351 5 1 3 1067 4 3456 1618 20 0 7 3 539 72 1 1025 0 15805 0 114 18 253 1559 1119 88 60 619 0 
183 5210 5610 111 56 4875 37 530 1804 417 3115 390 3 0 3 1086 8 3470 1588 10 0 7 1 512 46 0 1016 0 16080 0 112 18 269 1498 1071 111 72 568 1 
184 5229 5623 124 49 4956 33 541 1868 392 3137 338 3 2 6 1071 8 3474 1663 15 0 16 0 547 57 0 1067 0 15885 0 118 12 245 1447 1047 73 61 559 0 
185 5217 5570 107 44 4990 23 476 1805 438 3093 354 4 1 5 1089 7 3380 1643 18 0 13 2 522 77 1 1051 0 15988 0 114 9 300 1545 1053 100 62 579 0 
186 5175 5542 109 43 4971 27 499 1830 463 3077 392 7 2 5 1115 6 3380 1608 17 0 10 1 530 81 0 1061 0 16082 0 135 16 316 1444 1040 115 74 536 0 
187 5309 5559 135 55 4848 34 541 1830 378 2994 385 5 1 4 1055 6 3401 1683 14 0 14 0 562 72 1 1019 1 16010 0 106 12 281 1493 1086 89 62 620 0 
188 5262 5604 92 52 4977 42 509 1802 413 3040 375 3 3 5 1117 8 3364 1709 13 0 13 1 498 58 2 1056 1 15885 1 97 16 264 1558 1111 81 60 572 0 
189 5156 5631 103 54 4932 38 528 1866 413 3116 395 6 2 5 1087 4 3387 1613 18 0 11 3 554 68 1 1005 0 15867 0 96 16 292 1521 1118 92 68 616 0 
190 5257 5551 112 55 4919 35 512 1768 410 3115 377 5 0 4 1089 6 3454 1679 15 0 15 2 528 79 1 1014 0 16004 1 129 12 269 1488 1064 91 51 571 0 
191 5282 5657 114 47 4856 29 502 1778 426 3024 375 5 2 3 1075 3 3432 1585 16 2 9 2 513 62 0 1049 1 16111 0 108 21 265 1511 1104 86 57 584 0 
192 5233 5549 107 52 4825 35 517 1784 432 3099 419 4 3 3 1056 5 3410 1707 14 1 17 2 561 70 3 1054 0 15865 0 118 13 296 1587 1072 91 60 610 0 
193 5234 5532 107 62 4902 30 528 1858 435 3110 390 2 2 1 1046 8 3429 1657 21 0 5 1 556 65 1 1069 0 15730 0 126 14 292 1603 1111 92 71 598 0 
194 5146 5654 106 61 4820 42 526 1853 415 3085 421 7 4 1 1073 5 3396 1616 13 1 17 2 503 71 0 1073 1 16017 0 118 10 302 1490 1085 88 58 583 0 
195 5226 5582 117 54 4979 34 526 1861 437 2991 402 5 3 3 1058 4 3459 1652 11 1 12 2 514 51 0 1010 1 15971 0 134 16 295 1474 1076 94 64 573 0 
196 5307 5518 99 57 4752 37 534 1862 436 3105 356 5 3 1 1077 9 3457 1629 11 0 15 1 497 59 0 1040 0 15996 0 144 21 297 1516 1058 100 69 631 1 
197 5175 5609 108 66 4905 38 507 1823 415 2969 396 3 4 4 1097 5 3548 1598 20 2 10 0 498 56 1 1066 0 15966 0 130 27 278 1537 1055 93 64 590 1 
198 5222 5633 111 51 4894 27 518 1827 426 3127 371 3 3 4 1084 2 3384 1602 17 2 14 2 530 53 0 1103 0 15862 1 120 19 294 1514 1159 92 58 557 0 
199 5268 5613 105 62 4946 36 518 1824 414 3065 360 4 3 2 1034 5 3431 1635 18 0 16 3 514 65 1 1059 0 15925 0 125 13 292 1522 1074 105 69 579 0 
200 5254 5528 98 55 4878 28 518 1795 418 3088 386 6 1 3 1077 4 3491 1596 16 0 10 1 549 65 0 1041 0 16093 0 116 16 295 1457 1020 83 56 634 1 
201 5263 5691 117 60 4915 25 489 1771 418 3031 380 3 0 5 1117 7 3413 1646 19 0 16 5 543 68 1 1003 0 15959 1 118 19 316 1497 1055 88 59 556 0 
202 5254 5650 122 64 4915 32 510 1828 391 3040 352 2 1 3 1144 6 3494 1613 18 0 12 1 548 57 1 1027 0 15894 0 124 17 270 1477 1066 101 67 575 0 
203 5293 5538 129 47 4852 27 512 1814 423 3006 370 5 3 3 1057 7 3523 1597 16 1 15 1 537 69 2 1034 0 16116 0 124 19 308 1503 1010 86 58 580 0 
204 5186 5519 96 63 4937 34 521 1783 460 3093 377 2 4 5 1081 5 3521 1620 19 2 10 4 517 64 2 1033 0 15916 0 121 16 299 1537 1092 86 54 593 0 
205 5268 5595 106 73 4856 32 558 1841 385 3027 389 4 3 3 1080 7 3496 1655 17 0 13 2 530 65 1 1009 0 15864 0 109 16 290 1536 1105 97 63 600 0 
206 5393 5694 108 49 4869 36 477 1818 389 3058 404 3 1 9 1046 8 3372 1676 17 0 14 2 492 58 0 1057 0 15909 0 123 16 270 1488 1049 86 60 608 0 
207 5185 5682 108 47 4863 34 526 1845 413 3060 354 2 1 2 1083 5 3359 1588 15 0 10 3 518 70 1 1040 0 16091 0 141 14 276 1560 1035 95 52 607 0 
208 5292 5585 111 54 5036 32 555 1761 409 3043 377 3 4 3 1077 6 3410 1611 19 1 20 0 531 72 1 1057 0 15924 1 118 12 276 1532 1032 82 72 562 0 
209 5256 5578 115 50 4941 30 506 1787 427 3110 367 1 0 2 1082 2 3384 1642 12 0 16 2 549 61 0 1072 0 15946 0 120 22 281 1477 1086 93 59 582 0 
210 5272 5648 115 57 4823 30 535 1846 395 3118 392 3 2 5 1096 6 3333 1607 24 0 16 0 504 60 1 1015 1 16006 0 111 12 281 1547 1074 90 79 584 0 
211 5185 5504 94 60 4919 32 538 1847 395 3079 400 3 5 2 1110 5 3506 1594 19 2 9 1 518 74 0 1060 0 15902 0 121 15 316 1498 1102 100 76 582 1 
212 5340 5583 108 46 4992 31 508 1790 422 3046 354 2 2 3 1132 8 3418 1613 14 0 10 1 523 65 1 1073 0 15796 0 132 14 294 1518 1084 90 72 605 0 
213 5146 5726 123 60 4950 32 553 1781 421 3092 363 6 3 4 1118 6 3468 1601 15 0 10 3 519 74 2 1056 1 15808 0 109 17 289 1492 1109 90 63 567 0 
214 5323 5673 97 45 4804 27 520 1806 397 3003 384 6 3 5 1082 2 3398 1679 20 0 16 3 563 68 0 1058 0 15860 0 119 15 284 1558 1081 87 73 616 0 
215 5298 5526 108 55 4931 24 534 1831 425 2961 378 5 0 3 1121 10 3472 1621 10 1 11 1 526 77 0 1038 1 16070 1 118 16 278 1511 1029 88 72 538 1 
216 5325 5644 105 69 4854 25 492 1785 419 3027 372 1 3 1 1041 8 3430 1671 15 0 7 0 532 64 1 1029 1 15976 0 116 14 287 1586 1080 80 53 587 0 
217 5307 5595 113 52 4840 41 504 1743 414 3068 368 0 2 7 1090 6 3437 1644 19 0 16 4 564 68 0 983 1 15961 1 134 20 282 1528 1084 86 52 627 0 
218 5153 5646 109 55 4936 34 536 1855 414 3085 393 4 3 4 1073 5 3484 1600 17 0 14 0 529 62 1 1037 1 15879 0 135 20 308 1485 1087 73 70 591 0 
219 5204 5533 120 49 4984 30 532 1856 430 3088 375 7 4 6 1071 4 3414 1697 16 1 16 1 500 60 2 998 0 15981 0 122 22 289 1476 1054 95 57 599 0 
220 5210 5577 105 57 4897 28 511 1781 418 3040 399 2 3 6 1106 7 3426 1633 20 1 8 0 532 58 0 1067 0 15968 0 121 16 279 1529 1130 87 56 606 0 
221 5135 5631 100 51 4844 27 507 1837 409 3086 381 3 0 5 1128 8 3392 1628 21 0 12 2 524 61 1 1046 0 16114 0 113 13 307 1503 1069 102 54 577 0 
222 5271 5647 91 56 4964 31 515 1817 422 3051 365 3 5 6 1080 6 3469 1639 13 0 17 3 511 70 1 1047 0 15814 0 121 16 293 1544 1070 96 55 587 0 
223 5295 5538 107 56 4857 27 513 1772 425 3070 386 4 4 3 1072 9 3422 1631 23 0 15 3 502 60 1 1053 0 16053 0 120 22 280 1562 1042 105 59 580 0 
224 5258 5530 107 48 4961 32 514 1892 406 3033 376 2 4 5 1090 8 3364 1637 17 1 9 2 526 62 1 1101 0 15931 1 128 21 267 1485 1076 97 71 619 0 
225 5224 5655 123 55 4953 28 528 1843 411 3037 395 2 3 6 1109 6 3457 1623 14 0 13 1 505 73 1 1009 0 15943 0 108 11 268 1481 1055 96 65 598 0 
226 5148 5630 125 52 4826 31 526 1791 400 3108 395 2 2 4 1077 6 3467 1643 13 0 16 5 560 72 2 1062 0 15976 1 113 17 264 1510 1100 85 61 603 0 
227 5290 5638 108 56 4883 30 504 1724 404 3017 366 4 3 5 1121 6 3371 1602 13 0 13 4 520 73 2 1074 0 16122 0 117 12 284 1513 1050 103 74 592 1 
228 5262 5479 118 55 4913 35 468 1866 393 3141 353 5 3 6 1119 5 3429 1584 25 0 16 0 530 65 1 1076 0 15985 1 120 9 282 1540 1053 83 59 599 0 
229 5156 5604 130 47 4866 34 481 1884 434 3088 374 3 1 4 1078 6 3395 1621 21 0 13 1 532 57 1 1064 1 16032 0 124 25 263 1516 1112 89 56 573 0 
230 5172 5616 109 64 4941 34 524 1750 407 3089 375 3 3 4 1143 5 3562 1580 16 0 10 2 531 71 1 1018 0 15850 0 117 14 259 1531 1102 90 82 596 0 
231 5157 5641 103 56 5011 34 498 1798 442 3075 365 5 1 3 1082 6 3378 1588 22 1 11 0 494 55 0 1061 1 15946 0 129 17 281 1497 1147 94 60 597 0 
232 5333 5543 122 63 4924 24 530 1797 409 3060 357 5 3 3 1117 8 3425 1582 11 0 15 3 518 64 0 1057 0 15939 0 137 19 268 1559 1040 77 66 570 0 
233 5124 5579 118 63 4894 32 544 1849 386 2984 365 5 4 5 1108 6 3384 1647 16 0 9 2 529 69 0 1053 0 16079 0 121 15 296 1517 1114 107 60 582 0 
234 5301 5553 123 53 4951 35 488 1785 399 3089 382 7 4 3 1089 5 3470 1608 14 0 12 1 503 67 1 1055 1 15936 0 117 14 277 1529 1078 86 64 570 0 
235 5381 5628 112 54 4821 28 540 1799 395 3060 368 5 3 4 1124 4 3455 1643 8 1 8 0 487 56 0 1043 1 15901 0 130 13 282 1505 1112 87 67 562 0 
236 5254 5552 118 61 4905 29 532 1873 403 3013 380 1 2 5 1066 7 3474 1620 17 1 15 2 507 65 0 1011 0 15974 0 125 12 287 1525 1096 81 61 603 0 
237 5245 5519 107 48 4926 31 493 1799 425 3036 381 3 5 4 1114 2 3438 1623 20 0 12 2 522 73 1 1068 0 15927 0 114 19 293 1539 1117 93 57 647 0 
238 5152 5689 123 63 4822 36 548 1782 392 3074 370 3 3 4 1066 6 3510 1610 17 0 12 3 513 69 0 1074 0 15930 0 140 16 282 1503 1080 102 59 626 0 
239 5310 5568 102 61 4886 24 544 1799 425 3073 365 3 5 2 1085 5 3368 1631 19 0 14 2 525 49 2 1095 0 15945 0 140 20 289 1584 1000 81 65 614 0 
240 5135 5643 114 47 4762 36 547 1808 416 3121 386 1 4 3 1089 5 3484 1650 13 0 12 4 513 59 1 1042 0 16057 0 110 8 304 1489 1088 88 58 612 0 
241 5245 5590 114 67 4897 40 495 1810 432 3006 393 2 1 5 1088 9 3497 1646 19 0 15 1 556 61 0 1075 0 15898 1 116 10 270 1519 1093 91 55 585 0 
242 5267 5562 129 64 4756 32 522 1854 424 3072 357 4 1 4 1079 4 3438 1632 13 0 16 1 523 60 0 1073 0 16025 0 135 21 269 1470 1088 109 71 592 0 
243 5174 5559 103 60 4965 31 521 1815 420 3041 386 5 3 5 1080 5 3417 1683 20 0 9 3 526 64 1 1036 0 15953 1 111 15 281 1556 1080 87 57 601 1 
244 5231 5472 100 52 4853 31 510 1823 414 2979 366 4 2 3 1112 5 3505 1621 14 0 10 3 514 62 0 1074 0 16030 0 127 21 287 1578 1107 97 64 578 0 
245 5289 5492 119 58 5019 30 508 1809 402 2990 372 4 2 4 1108 2 3400 1653 18 0 14 3 499 67 0 1050 0 16002 1 127 16 289 1484 1127 90 61 580 0 
246 5222 5388 117 58 5002 28 530 1864 430 3103 358 3 1 2 1105 6 3423 1644 21 0 13 1 514 77 0 1095 0 15886 1 115 27 288 1548 1050 95 52 612 0 
247 5275 5446 112 45 4926 39 508 1817 399 2998 383 4 4 5 1134 9 3494 1691 19 0 9 2 514 60 2 1010 0 15981 1 113 15 292 1541 1067 86 68 582 0 
248 5206 5648 90 49 4816 23 534 1870 425 3125 371 3 4 1 1121 3 3456 1613 15 0 11 1 559 68 0 1073 0 15778 0 120 18 291 1524 1120 98 43 598 0 
249 5207 5581 118 71 4968 35 510 1797 427 3159 387 2 1 2 1111 9 3463 1619 19 0 14 3 557 65 0 1058 0 15858 1 106 17 278 1495 1049 89 56 552 0 
250 5232 5584 108 51 4874 26 580 1809 426 3043 401 7 2 3 1095 4 3407 1626 14 1 13 3 546 72 2 1077 0 15896 0 93 13 301 1564 1089 93 58 589 1 
251 5275 5640 113 59 4954 34 485 1874 424 3077 355 3 1 5 1098 6 3484 1650 16 0 9 0 516 75 0 1030 0 15756 0 123 23 261 1507 1092 96 66 595 1 
252 5320 5595 117 54 4857 36 508 1845 395 2961 346 0 1 5 1082 4 3461 1573 17 0 15 5 532 74 0 1027 0 16049 0 144 16 308 1510 1078 83 61 619 0 
253 5268 5592 110 42 4985 28 530 1790 430 3110 388 4 5 1 1103 7 3533 1609 10 1 15 1 519 68 1 1012 0 15824 0 114 17 289 1502 1066 94 60 561 0 
254 5243 5550 106 53 4975 28 490 1819 384 3049 366 5 2 2 1176 6 3407 1544 26 0 19 2 488 62 1 1038 0 15997 1 111 20 279 1537 1097 118 69 597 1 
255 5163 5600 114 42 4948 34 522 1838 419 3101 375 5 1 2 1168 4 3531 1568 8 0 10 1 539 63 1 1075 0 15837 0 120 14 271 1457 1106 90 57 592 1 
256 5198 5545 116 63 4810 32 497 1721 422 3052 365 5 3 5 1058 6 3475 1597 21 1 10 4 525 65 1 1044 1 16151 0 135 23 296 1509 1136 91 73 632 1 
257 5238 5654 107 56 4898 39 521 1795 405 3008 357 3 4 4 1067 10 3331 1616 18 0 11 0 518 83 0 1040 0 16119 0 119 15 301 1555 1021 96 66 580 1 
258 5271 5708 94 60 4907 25 532 1798 394 3123 374 1 5 5 1037 4 3455 1644 17 1 7 2 510 64 0 1040 0 15802 0 119 15 303 1522 1070 100 61 587 0 
259 5198 5744 105 43 4869 39 489 1766 416 3065 388 3 4 4 1097 12 3442 1619 17 0 17 1 518 68 0 1018 0 15998 0 118 10 308 1543 1030 83 58 600 0 
260 5212 5551 119 54 4983 30 532 1788 369 2996 373 2 3 4 1110 4 3520 1692 22 1 16 2 548 68 0 1006 0 15912 0 109 14 293 1494 1069 88 55 625 1 
261 5159 5698 109 46 4889 24 521 1751 418 3015 376 5 1 6 1108 5 3520 1601 19 1 12 3 502 54 0 1021 0 15978 0 125 15 292 1526 1138 88 65 595 0 
262 5287 5563 102 52 4883 37 463 1846 420 3160 381 3 2 2 1097 3 3367 1605 17 1 13 1 529 60 1 1036 0 16021 1 117 18 267 1518 1019 113 68 603 0 
263 5243 5645 103 59 4898 28 503 1839 417 2939 396 6 2 3 1107 3 3411 1674 19 0 17 1 536 62 1 1060 1 16028 0 110 18 251 1488 1039 98 72 617 0 
264 5216 5624 104 61 4916 29 532 1801 438 3047 374 5 4 1 1076 4 3463 1606 20 0 13 0 517 67 0 1039 0 15939 0 135 18 276 1571 1074 78 57 577 1 
265 5312 5673 105 41 4791 32 567 1809 394 3049 391 4 2 7 1094 4 3415 1640 22 1 13 3 541 77 1 1001 0 15806 0 131 22 315 1504 1099 97 69 621 0 
266 5238 5568 97 57 4957 30 527 1791 390 3157 374 3 2 3 1094 4 3425 1577 12 0 12 4 535 66 0 1020 0 15942 0 138 16 286 1541 1053 104 59 598 0 
267 5103 5675 123 51 4921 30 534 1744 410 2979 397 2 3 5 1080 7 3428 1660 22 0 14 1 544 71 0 1036 1 16056 0 129 15 275 1531 1110 103 67 563 0 
268 5199 5667 120 53 4877 40 497 1834 409 3097 365 8 2 4 1094 8 3474 1610 14 0 8 2 541 71 1 1021 0 15951 0 128 18 265 1545 1060 77 70 544 0 
269 5228 5589 110 52 4881 24 529 1760 396 3119 394 3 2 3 1104 6 3516 1658 22 0 14 1 517 55 2 1069 0 15798 0 142 23 296 1508 1077 98 72 622 0 
270 5175 5557 127 50 5016 32 496 1855 410 3011 379 1 7 2 1097 7 3475 1628 18 0 12 0 527 65 1 1021 0 15973 0 119 15 293 1494 1096 85 59 569 0 
271 5152 5570 111 63 4885 27 494 1811 428 3068 375 0 2 4 1141 4 3456 1635 11 1 17 1 512 77 0 1024 0 15958 1 148 18 310 1501 1123 90 51 587 0 
272 5309 5665 109 50 4843 36 468 1749 432 3103 373 4 5 5 1118 5 3400 1624 23 0 10 2 551 59 1 1020 1 15992 1 130 15 278 1523 1032 70 65 615 1 
273 5359 5687 115 64 4898 29 512 1755 439 3028 390 2 2 5 1085 6 3428 1633 20 1 13 1 516 71 0 1068 0 15827 0 111 19 298 1507 1057 98 65 560 0 
274 5258 5632 98 53 4865 28 542 1804 382 3007 387 2 3 3 1053 3 3479 1648 19 0 14 1 525 54 1 1014 0 16033 1 130 18 300 1497 1088 89 71 585 0 
275 5197 5480 115 55 4895 28 526 1894 418 3166 386 5 4 3 1133 5 3483 1580 19 2 15 2 507 67 2 1053 1 15903 0 133 14 301 1441 1111 88 66 565 0 
276 5300 5553 104 60 4961 30 497 1754 395 3086 408 3 1 4 1071 4 3580 1592 24 1 9 1 549 70 1 1076 0 15781 1 123 13 295 1484 1132 97 58 580 0 
277 5187 5590 111 54 4837 29 516 1834 394 3072 356 6 2 3 1093 9 3488 1649 14 1 9 4 480 65 0 1084 0 15987 1 114 17 286 1497 1118 97 50 609 0 
278 5217 5631 124 56 4914 37 502 1848 449 3127 394 2 1 3 1035 7 3383 1586 15 1 6 0 510 64 0 1056 1 15922 0 127 20 272 1535 1069 93 63 619 0 
279 5227 5624 116 47 4985 24 500 1821 390 3112 369 6 4 5 1126 5 3472 1649 14 0 12 2 533 76 2 1010 0 15836 0 124 16 282 1515 1034 90 60 612 1 
280 5219 5545 103 51 4897 29 524 1767 421 3072 355 1 1 3 1121 5 3480 1648 23 2 18 2 530 65 1 1067 0 15985 1 113 13 280 1535 1081 101 68 567 0 
281 5271 5589 124 57 4899 29 505 1844 381 3052 394 5 1 4 1098 5 3450 1666 10 1 8 3 534 61 1 1033 0 15801 0 113 15 297 1560 1101 94 60 609 1 
282 5174 5573 120 49 4911 36 495 1824 457 3017 353 3 2 4 1143 6 3503 1621 13 0 17 3 522 45 0 1053 0 15881 0 122 21 299 1531 1118 103 58 618 0 
283 5308 5607 112 48 4945 27 513 1847 433 3022 367 4 4 3 1089 5 3458 1608 19 0 12 2 513 80 0 1029 0 15878 0 126 15 251 1534 1079 83 57 571 0 
284 5224 5561 108 58 4925 31 524 1776 424 3000 351 3 3 3 1126 7 3429 1586 17 1 14 4 530 65 0 1072 0 16132 1 115 18 308 1500 1065 80 48 578 0 
285 5262 5580 105 55 4935 19 510 1791 409 2957 392 9 4 3 1115 6 3459 1625 19 1 7 4 499 54 0 1053 0 16018 0 137 18 302 1511 1089 108 53 584 0 
286 5271 5651 92 48 4937 35 544 1791 435 3019 412 3 1 4 1061 6 3481 1633 18 0 11 0 499 67 0 1027 0 15896 0 130 15 291 1538 1020 87 71 594 0 
287 5240 5579 103 58 4916 40 503 1710 413 3101 372 5 3 4 1040 5 3441 1680 19 2 12 0 488 63 1 1036 0 16132 0 124 18 278 1505 1079 105 55 545 0 
288 5162 5606 107 59 4978 37 519 1796 388 3058 378 5 0 3 1095 7 3431 1660 19 0 12 1 500 65 1 1083 1 16007 0 118 14 255 1499 1065 82 52 594 0 
289 5253 5652 98 45 4792 37 528 1852 417 3028 372 2 2 3 1069 4 3418 1612 23 0 12 2 552 69 1 985 0 16127 0 135 14 260 1504 1076 90 62 592 1 
290 5192 5577 99 56 5018 34 539 1774 428 3015 380 3 1 6 1178 7 3393 1630 9 0 16 1 528 73 1 1008 0 16034 1 141 16 290 1507 1030 91 55 563 0 
