  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
32 5247 5568 108 47 4911 37 534 1770 376 3038 382 3 3 2 1112 7 3403 1642 14 1 10 1 515 66 2 1064 0 16023 0 129 24 290 1516 1067 92 55 619 1 
33 5227 5594 111 57 4922 30 495 1844 421 3048 396 5 1 2 1101 8 3406 1613 26 0 12 2 490 57 1 1025 0 16016 0 124 15 275 1527 1062 77 74 615 0 
34 5275 5577 102 51 4827 31 503 1842 406 3113 365 3 0 5 1085 7 3430 1684 16 2 11 3 515 66 2 1079 0 15906 0 140 23 278 1504 1105 79 54 572 0 
35 5240 5583 100 55 4907 38 523 1782 398 3095 377 5 2 3 1049 8 3443 1642 20 1 15 1 495 61 1 1041 1 16057 0 120 17 282 1474 1097 87 66 589 0 
36 5307 5501 101 57 5024 29 522 1731 394 3088 388 4 2 1 1096 3 3513 1659 14 1 8 4 513 53 2 1007 1 15911 1 155 18 314 1487 1007 98 72 581 0 
37 5192 5604 105 63 4911 29 533 1766 435 3022 383 5 2 3 1045 5 3501 1601 16 0 12 0 523 71 0 1028 1 16030 1 139 19 282 1522 1090 94 71 595 1 
38 5235 5581 102 57 4841 32 522 1861 411 3023 390 2 2 4 1075 4 3485 1631 17 1 11 3 493 77 0 1032 0 16039 0 137 17 285 1546 1037 92 50 599 0 
39 5226 5582 111 55 4928 38 516 1792 419 3041 383 2 2 4 1125 4 3396 1592 19 0 15 2 567 65 1 1026 0 15978 0 114 11 288 1526 1111 100 51 586 0 
40 5291 5541 94 53 4846 32 517 1826 406 3062 356 4 2 5 1130 7 3427 1620 17 0 14 1 514 69 0 1041 0 16009 1 140 18 317 1544 1076 77 59 568 0 
41 5237 5602 108 63 4871 31 540 1887 405 3047 360 4 1 3 1129 4 3429 1603 15 0 9 0 527 61 0 1087 0 15863 0 108 17 310 1513 1124 92 57 592 0 
42 5327 5631 104 59 4897 29 526 1850 395 2985 383 7 2 3 1094 8 3465 1566 15 2 13 2 548 64 1 1062 0 15947 0 102 12 276 1473 1083 95 63 570 0 
43 5310 5570 120 54 4826 32 505 1838 396 2993 375 4 2 8 1074 8 3415 1633 23 0 6 1 517 65 1 1071 0 16061 0 121 13 298 1547 1073 70 74 574 0 
44 5312 5598 109 54 4929 32 526 1792 388 2997 374 2 4 6 1129 10 3412 1627 23 0 12 2 523 74 0 1050 0 15919 0 119 13 287 1540 1096 85 75 555 0 
45 5260 5515 114 53 4899 27 511 1865 412 2983 358 4 2 1 1127 6 3518 1670 19 0 7 1 537 57 0 1059 0 15922 0 121 12 281 1491 1109 83 66 574 0 
46 5256 5644 114 59 4895 34 547 1809 438 3022 369 2 4 4 1146 6 3444 1620 18 1 15 3 513 65 1 1046 1 15798 0 138 17 278 1511 1101 94 58 626 0 
47 5198 5656 109 55 5011 32 517 1801 386 3043 416 1 1 7 998 11 3400 1649 18 0 18 2 528 75 0 1101 0 15950 0 118 11 320 1425 1127 93 52 545 1 
48 5267 5536 104 56 5008 30 510 1837 406 3042 367 5 1 4 1083 4 3428 1647 21 0 12 2 558 56 0 1029 0 15846 0 122 14 282 1570 1081 93 60 599 0 
49 5206 5551 117 52 4972 35 529 1732 429 3021 380 7 1 4 1092 5 3452 1563 14 0 6 4 525 61 1 1026 0 16043 0 127 16 283 1566 1101 103 73 621 0 
50 5260 5576 122 58 4851 25 517 1771 406 3107 377 4 0 2 1056 6 3413 1647 17 0 12 1 569 65 0 1062 0 15981 0 131 14 303 1534 1061 97 67 555 0 
51 5192 5709 99 44 4877 35 502 1815 407 3098 332 4 3 6 1065 4 3486 1617 17 0 11 2 532 74 1 999 1 15945 0 137 14 273 1515 1107 91 60 603 0 
52 5320 5563 113 44 4868 36 523 1780 437 3057 421 4 4 4 1067 2 3471 1605 15 0 9 1 520 80 0 1027 0 16002 0 122 8 261 1491 1089 83 56 597 0 
53 5229 5588 103 52 4969 32 507 1864 407 3082 366 2 3 4 1136 2 3465 1587 13 1 12 1 514 60 0 1001 0 15913 0 130 18 273 1568 1065 92 56 565 0 
54 5219 5507 107 59 4918 24 526 1863 422 3092 364 7 3 3 1118 5 3484 1635 12 1 8 1 508 66 2 1052 0 15927 0 117 13 303 1466 1074 111 69 583 0 
55 5213 5514 114 56 4956 31 514 1848 403 2993 365 2 2 2 1117 9 3464 1668 16 0 10 2 521 71 2 1038 1 15985 0 129 14 266 1482 1116 79 63 609 1 
56 5247 5593 100 43 4860 27 512 1837 398 3081 389 5 1 5 1050 3 3533 1651 21 0 13 2 510 53 1 1019 0 15900 0 133 26 278 1561 1039 89 56 617 0 
57 5203 5642 105 63 4855 27 493 1797 398 3135 395 5 3 4 1150 10 3416 1600 17 1 13 1 538 62 1 1049 0 15932 0 138 11 268 1467 1097 89 60 625 0 
58 5247 5451 104 49 4888 34 520 1784 437 3053 378 2 4 3 1193 6 3522 1583 14 2 9 1 542 52 2 1044 0 15986 0 123 16 301 1534 1040 91 74 613 0 
59 5208 5522 89 54 4853 22 537 1845 414 3053 384 3 2 5 1069 7 3433 1626 15 0 11 3 548 62 0 1078 0 16119 0 125 11 279 1484 1087 101 67 560 1 
60 5344 5581 103 57 4907 28 511 1755 399 3061 387 4 2 3 1121 4 3354 1692 15 0 14 3 523 66 0 1074 0 15901 0 119 20 291 1472 1087 101 65 630 0 
61 5142 5515 104 46 4941 24 536 1832 379 3087 343 6 1 3 1060 4 3556 1627 25 0 10 1 534 58 0 1016 0 16006 0 121 13 323 1574 1079 84 49 596 0 
62 5169 5603 102 52 4723 29 522 1857 422 3122 393 6 4 3 1120 5 3503 1699 12 1 13 1 548 69 0 1004 0 15968 0 110 20 272 1518 1080 112 56 567 1 
63 5227 5565 104 51 4912 40 537 1814 425 3026 381 1 4 4 1096 3 3506 1542 15 0 9 3 525 75 1 1038 1 15989 1 114 18 285 1533 1074 102 60 594 0 
64 5302 5611 112 52 4942 38 495 1834 396 3050 380 4 0 5 1074 8 3425 1544 19 1 15 2 514 68 1 1070 1 15959 0 119 22 279 1512 1064 97 75 569 1 
65 5237 5605 95 50 4943 25 475 1816 442 3034 353 4 5 2 1046 3 3454 1615 13 0 15 3 551 67 0 1015 0 16037 1 116 15 284 1582 1061 100 54 600 0 
66 5259 5588 93 60 4883 29 515 1863 415 3024 401 3 1 1 1113 5 3448 1679 16 1 7 2 508 56 2 1100 0 15886 0 121 17 299 1489 1050 105 60 579 0 
67 5259 5561 106 55 4896 25 525 1852 414 3205 415 4 0 2 1088 7 3334 1596 12 1 9 1 522 46 0 1112 0 15911 1 128 20 273 1510 1045 92 70 609 0 
68 5269 5501 110 58 4889 29 525 1849 415 3125 383 2 2 4 1113 5 3366 1566 23 0 17 3 509 60 1 1034 0 15999 0 113 16 288 1545 1112 82 69 604 0 
69 5191 5621 119 57 4892 34 511 1798 390 3063 380 7 4 5 1128 8 3412 1624 15 0 10 0 518 59 0 1019 1 16049 0 110 15 286 1496 1131 92 66 573 0 
