  LD GT CB CE LO PL GH
662 3022 3315 22242 20238 0 0 598 
663 3152 3241 22349 20046 1 1 628 
664 3067 3206 22412 20153 2 0 599 
665 3091 3287 22338 20102 1 1 599 
666 3087 3301 22236 20232 1 0 588 
667 3090 3248 22341 20164 0 0 577 
668 3001 3272 22404 20151 2 0 592 
669 3097 3269 22279 20167 1 1 615 
670 3109 3253 22318 20163 2 0 584 
671 3186 3289 22170 20205 1 1 591 
672 3108 3268 22306 20152 2 1 605 
673 3099 3280 22332 20128 2 1 589 
674 3051 3228 22439 20112 2 1 601 
675 3132 3283 22223 20203 1 1 589 
676 3133 3256 22449 20019 0 0 586 
677 3133 3295 22303 20108 0 0 602 
678 3100 3225 22331 20125 2 0 622 
679 3110 3279 22224 20187 2 0 610 
680 3091 3248 22281 20199 1 0 608 
681 3090 3239 22366 20165 2 0 582 
682 3060 3215 22438 20097 1 0 611 
683 3137 3240 22373 20100 0 0 596 
684 3138 3219 22324 20150 1 1 608 
685 3120 3209 22366 20110 1 0 598 
686 3143 3254 22375 20035 0 1 617 
687 3132 3158 22205 20343 1 1 578 
688 3031 3265 22457 20061 1 0 609 
689 3041 3252 22365 20209 0 0 581 
690 3041 3290 22367 20121 1 0 624 
691 3119 3289 22335 20103 1 1 587 
692 3111 3161 22376 20177 2 1 592 
693 3096 3246 22363 20134 1 0 608 
694 3104 3293 22228 20203 1 0 610 
695 3143 3229 22356 20100 2 1 594 
696 3109 3328 22284 20126 1 0 582 
697 3027 3265 22345 20206 0 1 596 
698 3118 3238 22400 20123 1 1 564 
699 3064 3321 22274 20138 1 1 629 
700 3139 3241 22285 20165 1 1 588 
701 3094 3203 22316 20223 1 0 605 
702 3091 3252 22343 20147 1 0 601 
703 3130 3300 22218 20132 0 1 629 
704 3109 3239 22341 20143 1 1 602 
705 3129 3210 22292 20202 1 1 612 
706 3105 3180 22316 20248 1 1 594 
707 3111 3242 22278 20200 2 1 585 
708 3162 3210 22336 20114 1 1 609 
709 3015 3253 22380 20142 2 1 600 
710 3122 3188 22267 20250 2 1 610 
711 3080 3248 22411 20094 1 1 590 
712 3075 3228 22324 20199 1 0 604 
713 3118 3358 22275 20077 1 0 599 
714 3106 3221 22413 20052 2 1 602 
715 3150 3205 22386 20079 1 1 599 
716 3102 3184 22428 20119 1 1 609 
717 3106 3264 22390 20028 0 1 624 
718 3155 3252 22248 20167 0 1 602 
719 3136 3221 22332 20124 1 1 633 
720 3137 3211 22438 20039 1 1 593 
721 3129 3207 22384 20084 2 1 601 
722 3096 3256 22231 20233 0 0 621 
723 3141 3286 22260 20141 2 1 609 
724 3088 3209 22399 20155 1 1 587 
725 3020 3257 22422 20114 1 1 599 
726 3132 3260 22378 20044 1 1 615 
727 3062 3252 22225 20279 2 1 612 
728 3120 3139 22316 20237 1 1 602 
729 3091 3262 22397 20029 0 1 624 
730 3040 3234 22450 20100 2 0 610 
731 3108 3244 22334 20131 0 1 595 
732 3116 3264 22359 20052 2 0 626 
733 3115 3286 22347 20071 1 0 604 
734 3113 3324 22307 20076 2 0 608 
735 3185 3217 22300 20156 1 1 574 
736 3093 3219 22277 20249 1 0 607 
737 3073 3276 22441 20069 2 0 573 
738 3132 3200 22411 20093 1 0 586 
739 3122 3280 22254 20174 2 1 576 
740 3032 3237 22366 20201 2 0 592 
741 3086 3207 22385 20147 1 1 588 
742 3101 3188 22322 20225 1 0 582 
743 3070 3188 22312 20272 1 0 592 
744 3107 3295 22286 20118 0 0 633 
745 3097 3222 22352 20139 2 1 594 
746 3118 3202 22347 20153 2 0 625 
747 3079 3270 22291 20205 1 0 598 
748 3062 3265 22266 20191 1 1 618 
749 3107 3262 22365 20079 1 1 616 
750 3075 3286 22206 20266 1 1 599 
751 3026 3251 22528 20033 0 1 609 
752 3087 3331 22315 20095 0 1 613 
753 3141 3289 22308 20059 1 0 611 
754 3150 3244 22377 20125 1 1 573 
755 3114 3220 22292 20172 1 0 616 
756 3008 3242 22395 20199 0 1 582 
757 3140 3297 22284 20084 2 1 607 
758 3127 3223 22257 20185 1 1 634 
759 3154 3274 22218 20186 1 1 574 
760 3124 3208 22374 20136 1 0 604 
761 3102 3193 22537 20038 1 0 585 
762 3090 3288 22322 20128 1 0 587 
763 3067 3244 22258 20210 1 1 605 
764 3113 3243 22328 20149 2 1 592 
765 3052 3226 22294 20269 2 1 589 
766 3095 3265 22301 20167 2 1 594 
767 3088 3287 22316 20133 0 1 589 
768 3082 3324 22370 20016 2 0 611 
769 3055 3329 22360 20082 2 0 589 
770 3132 3223 22262 20231 2 1 571 
771 3135 3278 22193 20226 2 1 608 
772 3111 3205 22425 20098 1 0 583 
773 3138 3209 22402 20080 2 1 584 
774 3121 3273 22284 20119 0 0 620 
775 3070 3201 22407 20157 2 0 601 
776 3148 3221 22434 20077 1 0 552 
777 3096 3270 22313 20147 1 1 613 
778 3105 3237 22365 20112 1 1 628 
779 3116 3279 22438 20003 2 0 608 
780 3075 3228 22389 20169 2 0 589 
781 3080 3233 22382 20135 1 0 600 
782 3086 3219 22333 20192 1 1 601 
783 3017 3326 22367 20096 1 1 607 
784 3133 3244 22405 20056 1 0 590 
785 3161 3293 22358 20041 2 1 597 
786 3117 3228 22478 20009 1 0 580 
787 3155 3251 22290 20158 2 1 610 
788 3105 3183 22453 20086 1 0 589 
789 3069 3243 22486 20050 1 0 586 
790 3093 3207 22209 20292 2 1 617 
791 3050 3302 22367 20135 1 1 592 
792 3087 3265 22333 20134 0 1 597 
793 3118 3179 22339 20228 0 0 579 
794 3112 3256 22398 20026 1 1 624 
795 3152 3232 22374 20075 2 1 587 
796 3118 3219 22363 20149 1 1 585 
797 3037 3162 22378 20288 1 1 579 
798 3116 3247 22298 20163 1 1 617 
799 3111 3198 22481 19980 1 1 642 
800 3080 3212 22397 20141 2 0 586 
801 3121 3289 22500 19914 0 0 618 
802 3152 3266 22258 20147 2 1 612 
803 3087 3207 22388 20136 2 1 609 
804 3083 3185 22233 20296 1 0 610 
805 3089 3270 22264 20214 1 1 607 
806 3099 3190 22353 20155 1 0 609 
807 3091 3289 22315 20164 2 1 571 
808 3162 3314 22298 20044 1 0 608 
809 3081 3227 22352 20133 0 1 607 
810 3153 3266 22429 20000 1 1 600 
811 3105 3290 22265 20181 0 1 622 
812 3058 3213 22458 20092 1 1 611 
813 3117 3231 22341 20131 2 1 602 
814 3071 3231 22268 20213 0 1 621 
815 3124 3253 22391 20084 1 0 600 
816 3124 3255 22311 20132 2 1 604 
817 3116 3232 22331 20129 1 1 621 
818 3124 3172 22329 20208 2 0 581 
819 3071 3255 22504 20003 1 0 592 
820 3138 3252 22294 20159 2 1 597 
821 3178 3263 22200 20163 1 0 612 
822 3136 3260 22335 20066 1 1 612 
823 3137 3224 22288 20146 2 1 598 
824 3142 3232 22397 20056 1 1 587 
825 3188 3210 22385 20022 1 0 605 
826 3116 3247 22360 20097 1 0 591 
827 3064 3302 22244 20233 1 1 602 
828 3057 3218 22282 20210 0 1 625 
829 3073 3222 22325 20192 1 1 623 
830 3058 3277 22260 20228 1 1 597 
831 3119 3286 22303 20108 0 1 598 
832 3113 3331 22381 20011 0 1 584 
833 3071 3272 22253 20195 2 0 604 
834 3113 3306 22325 20102 1 1 611 
835 3144 3327 22275 20096 1 0 595 
836 3111 3200 22363 20191 0 0 577 
837 3114 3208 22341 20146 0 0 607 
838 3118 3302 22261 20169 2 1 567 
839 3058 3322 22345 20135 0 1 578 
840 3054 3285 22373 20134 1 0 588 
841 3048 3244 22352 20154 2 1 623 
842 3050 3266 22355 20134 2 1 634 
843 3145 3261 22404 20027 1 0 590 
844 3084 3296 22294 20131 2 1 600 
845 3118 3201 22434 20078 2 1 602 
846 3101 3263 22417 20000 1 0 622 
847 3080 3204 22266 20213 1 0 640 
848 3129 3209 22269 20217 1 1 601 
849 3096 3284 22253 20202 1 1 623 
850 3100 3272 22364 20112 1 0 593 
851 3107 3304 22366 20051 1 1 581 
852 3044 3303 22366 20112 1 1 623 
853 3098 3305 22444 19999 2 0 593 
854 3108 3251 22358 20079 1 0 620 
855 3099 3285 22392 20021 1 1 621 
856 3098 3209 22279 20226 1 1 604 
857 3140 3244 22334 20103 1 1 597 
858 3075 3251 22485 20054 2 1 575 
859 3094 3231 22272 20248 1 1 576 
860 3122 3287 22379 20013 1 0 607 
861 3094 3230 22370 20118 1 1 606 
862 3039 3195 22434 20167 0 0 593 
863 3038 3317 22347 20143 1 1 575 
864 3071 3252 22548 19990 2 0 571 
865 3113 3252 22311 20171 1 0 571 
866 3131 3263 22287 20128 2 1 615 
867 3086 3203 22463 20083 2 0 591 
868 3176 3302 22229 20098 1 0 635 
869 3134 3286 22332 20109 2 0 570 
870 3080 3282 22292 20137 2 0 613 
871 3075 3218 22341 20239 0 1 577 
872 3059 3255 22417 20103 1 0 588 
873 3031 3290 22251 20247 2 0 617 
874 3125 3253 22364 20085 1 0 590 
875 3131 3267 22287 20121 0 1 626 
876 3047 3267 22327 20210 1 0 577 
877 3133 3258 22389 20084 2 1 583 
878 3119 3226 22351 20129 0 0 615 
879 3109 3242 22447 20039 2 0 576 
880 3076 3214 22332 20159 0 0 626 
881 3106 3247 22214 20219 0 1 636 
882 3032 3231 22394 20151 0 0 617 
883 3142 3234 22348 20088 0 1 627 
884 3072 3205 22334 20177 1 1 613 
885 3091 3268 22217 20244 2 0 622 
886 3093 3295 22336 20089 0 0 595 
887 3127 3237 22521 19990 1 0 585 
888 3105 3241 22389 20160 2 1 569 
889 3156 3204 22430 20051 2 0 569 
890 3126 3233 22268 20135 1 1 635 
891 3113 3298 22346 20091 1 1 584 
892 3075 3303 22300 20138 0 1 607 
893 3098 3243 22302 20194 1 1 619 
894 3128 3334 22257 20149 0 1 587 
895 3031 3257 22502 20021 2 1 595 
896 3045 3232 22312 20241 2 1 610 
897 3107 3186 22454 20081 2 1 610 
898 3041 3217 22408 20185 2 0 558 
899 3133 3247 22323 20132 0 0 593 
900 3173 3282 22300 20103 1 0 581 
901 3138 3244 22357 20107 1 1 568 
902 3080 3258 22331 20154 2 0 602 
903 3126 3320 22303 20098 2 0 603 
904 3099 3193 22263 20249 1 1 630 
905 3089 3267 22191 20275 0 1 624 
906 3045 3298 22371 20114 2 0 606 
907 3072 3201 22340 20233 1 0 596 
908 3097 3252 22301 20183 2 0 594 
909 3105 3238 22328 20130 0 0 612 
910 3086 3198 22381 20136 2 1 625 
911 3077 3259 22368 20178 1 1 552 
912 3122 3225 22345 20104 2 1 616 
913 3144 3279 22287 20105 1 1 595 
914 3117 3139 22192 20379 1 1 573 
915 3037 3189 22451 20160 2 1 616 
916 3052 3274 22226 20262 1 1 616 
917 3159 3203 22371 20121 0 0 578 
918 3066 3308 22391 20109 1 0 560 
919 3049 3264 22366 20178 2 1 593 
920 3109 3229 22481 19995 1 0 618 
921 3063 3212 22356 20218 1 1 599 
922 3049 3193 22347 20207 0 0 622 
923 3096 3278 22284 20175 1 0 586 
924 3084 3306 22288 20145 2 1 622 
925 3058 3254 22409 20104 1 1 608 
926 3139 3222 22315 20144 1 0 597 
927 3070 3251 22447 20042 2 0 588 
928 3046 3272 22358 20145 1 1 596 
929 3062 3168 22366 20238 0 1 592 
930 3121 3246 22361 20097 1 1 616 
931 3080 3277 22350 20142 1 1 586 
932 3132 3204 22391 20102 2 0 587 
933 3093 3267 22290 20193 1 0 591 
934 3203 3253 22180 20202 1 1 600 
935 3119 3270 22162 20227 2 0 643 
936 3079 3198 22269 20265 2 0 586 
937 3126 3266 22419 19999 2 0 608 
938 3050 3270 22250 20261 1 0 597 
939 3158 3302 22173 20216 2 0 587 
940 3116 3232 22309 20156 0 1 617 
941 3105 3230 22439 20029 1 0 619 
942 3116 3249 22219 20219 1 0 626 
943 3093 3296 22451 19964 2 1 609 
944 3147 3241 22277 20145 1 1 612 
945 3158 3279 22307 20108 1 1 574 
946 3072 3187 22391 20127 1 1 634 
947 3098 3277 22432 20051 1 1 571 
948 3068 3234 22318 20214 1 0 596 
949 3047 3272 22394 20093 1 0 625 
950 3123 3292 22311 20091 1 1 614 
951 3151 3247 22373 20065 0 0 600 
952 3098 3271 22309 20126 2 1 596 
953 3085 3215 22337 20219 1 0 604 
954 3046 3184 22436 20163 0 1 595 
955 3093 3261 22288 20194 0 0 605 
956 3096 3282 22324 20146 1 1 601 
957 3165 3286 22248 20117 1 1 600 
958 3112 3224 22470 20038 1 1 589 
959 3118 3298 22258 20161 0 1 600 
960 3066 3252 22248 20265 1 1 629 
961 3130 3235 22418 20053 0 0 603 
962 3060 3240 22292 20244 2 0 568 
963 3087 3296 22425 20051 2 1 588 
964 3112 3211 22402 20109 1 0 597 
965 3066 3276 22253 20247 1 1 586 
966 3085 3199 22483 20087 2 1 596 
967 3131 3241 22308 20146 2 0 593 
968 3125 3234 22403 20077 2 1 606 
969 3159 3226 22401 20067 1 0 580 
970 3114 3279 22209 20232 1 1 583 
971 3103 3211 22270 20244 1 1 602 
972 3055 3234 22332 20210 2 0 602 
973 3140 3236 22206 20242 1 0 595 
974 3051 3213 22467 20103 1 0 588 
975 3165 3274 22208 20183 1 1 592 
976 3104 3182 22368 20105 2 0 639 
977 3112 3171 22372 20127 1 1 625 
978 3087 3171 22369 20192 2 0 597 
979 3071 3279 22315 20158 1 0 614 
980 3169 3268 22324 20081 0 0 605 
981 3106 3200 22457 20078 2 0 577 
982 3056 3230 22428 20089 1 1 606 
983 3126 3212 22250 20212 1 1 620 
984 3099 3239 22306 20193 1 1 599 
985 3044 3245 22445 20092 2 1 631 
986 3115 3195 22322 20186 1 1 613 
987 3136 3271 22349 20063 2 1 605 
988 3139 3247 22378 20092 1 0 577 
989 3124 3168 22387 20133 1 1 597 
990 3105 3219 22502 20041 2 0 586 
991 3146 3234 22343 20106 2 1 588 
992 3082 3307 22362 20082 2 1 590 
993 3155 3216 22318 20150 1 1 610 
994 3023 3284 22338 20163 1 0 621 
995 3091 3285 22311 20164 1 1 570 
996 3071 3286 22336 20128 2 0 610 
997 3053 3226 22334 20219 0 1 598 
998 3057 3238 22437 20075 2 0 590 
999 3089 3231 22305 20192 2 0 587 
