  LD GT CB CE LO PL GH
151 3075 3218 22303 20239 1 0 593 
152 3107 3181 22414 20132 1 1 597 
153 3092 3192 22436 20120 2 0 589 
154 3093 3252 22411 20067 2 0 595 
155 3047 3200 22405 20159 1 1 612 
156 3169 3252 22410 19980 2 1 598 
157 3056 3176 22397 20214 0 0 573 
158 3097 3220 22411 20077 0 1 599 
159 3081 3258 22399 20116 1 1 585 
160 3058 3264 22366 20103 2 1 626 
161 3066 3306 22362 20087 0 1 611 
162 3085 3216 22387 20160 2 1 581 
163 3094 3282 22338 20100 0 1 601 
164 3093 3254 22384 20098 0 1 604 
165 3075 3269 22303 20201 2 1 587 
166 3112 3246 22415 20084 1 0 556 
167 3093 3233 22437 20110 2 0 579 
168 3106 3246 22362 20113 1 1 590 
169 3150 3222 22380 20080 2 1 592 
170 3119 3263 22195 20277 1 0 570 
171 3130 3230 22342 20108 2 0 620 
172 3053 3238 22295 20243 0 0 581 
173 3097 3259 22307 20169 0 1 595 
174 3047 3246 22322 20201 2 0 603 
175 3112 3281 22362 20038 0 0 605 
176 3122 3235 22450 20034 1 1 598 
177 3072 3229 22432 20132 1 1 598 
178 3091 3195 22381 20161 0 1 604 
179 3104 3239 22432 20079 0 1 580 
180 3097 3253 22350 20152 2 0 577 
181 3095 3265 22399 20023 2 1 623 
182 3054 3257 22370 20127 1 0 604 
183 3095 3223 22276 20235 2 0 598 
184 3084 3281 22464 19998 1 0 607 
185 3131 3256 22214 20192 1 1 641 
186 3118 3318 22298 20099 1 0 600 
187 3034 3253 22434 20084 2 1 611 
188 3064 3182 22354 20226 1 0 603 
189 3090 3252 22323 20172 2 1 602 
190 3086 3222 22456 20047 1 1 604 
191 3048 3288 22318 20174 1 1 607 
192 3130 3242 22327 20137 1 1 602 
193 3088 3223 22444 20057 2 1 612 
194 3098 3232 22296 20172 2 1 605 
195 3076 3316 22349 20093 2 1 605 
196 3116 3195 22488 20023 2 1 623 
197 3157 3204 22395 20119 1 1 580 
198 3060 3258 22331 20214 0 1 600 
199 3077 3317 22331 20063 1 0 633 
200 3136 3300 22310 20118 2 1 567 
201 3097 3272 22282 20182 2 1 596 
202 3072 3284 22337 20132 1 1 619 
203 3087 3312 22238 20178 0 0 614 
204 3109 3179 22531 20026 2 1 606 
205 3054 3228 22480 20047 1 1 615 
206 3112 3288 22298 20151 2 1 570 
207 3141 3217 22426 20024 1 0 601 
208 3146 3204 22313 20185 2 0 583 
209 3104 3265 22404 20062 2 1 604 
210 3098 3272 22255 20226 2 1 597 
211 3062 3321 22373 20076 1 1 591 
212 3092 3251 22240 20290 0 1 582 
213 3058 3278 22394 20084 2 1 592 
214 3071 3290 22346 20138 2 1 610 
215 3055 3283 22381 20079 0 0 616 
216 3079 3271 22338 20142 2 0 593 
217 3104 3266 22419 20019 2 0 618 
218 3111 3226 22465 19993 1 1 605 
219 3140 3233 22388 20080 1 0 610 
220 3138 3230 22363 20105 1 1 607 
221 3123 3281 22285 20142 1 1 626 
222 3123 3253 22407 20023 1 0 614 
223 3082 3250 22316 20172 1 1 596 
224 3084 3249 22358 20130 0 0 611 
225 3131 3322 22200 20148 0 0 614 
226 3151 3239 22339 20067 0 1 621 
227 3104 3258 22337 20157 1 0 598 
228 3061 3242 22486 20026 1 0 594 
229 3136 3195 22478 20031 1 1 593 
230 3127 3159 22367 20164 1 1 595 
231 3100 3213 22343 20171 1 1 616 
232 3054 3213 22266 20313 2 0 579 
233 3076 3227 22468 20069 2 0 599 
234 3120 3254 22324 20129 1 1 589 
235 3056 3310 22379 20054 1 0 613 
236 3081 3269 22456 20032 1 1 580 
237 3116 3266 22237 20212 1 0 619 
238 3121 3283 22327 20097 1 1 579 
239 3197 3229 22286 20127 1 0 587 
240 3149 3254 22375 20054 0 0 600 
241 3140 3278 22200 20245 0 0 586 
242 3078 3199 22462 20093 2 0 599 
243 3135 3251 22317 20095 1 0 622 
244 3148 3256 22449 19990 1 1 609 
245 3112 3220 22453 20097 1 0 588 
246 3079 3182 22339 20221 2 0 619 
247 3090 3258 22354 20097 2 1 619 
248 3057 3317 22303 20144 1 0 589 
249 3068 3277 22416 20016 2 0 628 
250 3139 3307 22323 20085 1 0 616 
251 3102 3272 22422 20066 1 0 584 
252 3084 3233 22286 20194 2 0 607 
253 3146 3206 22471 20035 1 1 591 
254 3127 3246 22391 20074 1 0 601 
255 3142 3254 22402 20020 2 0 628 
256 3108 3247 22263 20211 1 1 584 
257 3091 3224 22502 20051 2 0 580 
258 3139 3251 22327 20094 1 0 622 
259 3079 3225 22399 20148 2 0 595 
260 3067 3291 22310 20122 2 0 609 
261 3100 3252 22275 20173 2 1 632 
262 3088 3263 22326 20192 2 0 549 
263 3113 3274 22343 20139 2 0 587 
264 3143 3266 22203 20193 1 0 607 
265 3145 3276 22275 20159 1 0 577 
266 3114 3244 22365 20088 2 0 609 
267 3022 3277 22472 20091 1 1 594 
268 3162 3281 22290 20074 1 0 621 
269 3083 3190 22332 20189 2 0 626 
270 3075 3197 22393 20187 0 1 592 
271 3099 3227 22215 20275 0 1 613 
272 3122 3196 22340 20169 0 1 611 
273 3129 3286 22299 20126 2 1 612 
274 3097 3267 22398 20081 0 0 571 
275 3092 3252 22288 20186 2 0 612 
276 3081 3294 22329 20154 0 0 601 
277 3165 3291 22186 20183 1 1 613 
278 3065 3303 22316 20155 1 0 611 
279 3097 3213 22366 20124 1 1 600 
280 3099 3238 22409 20112 1 1 571 
281 3182 3236 22388 20045 0 0 580 
282 3073 3258 22458 20052 1 1 585 
283 3132 3184 22304 20168 0 1 639 
